starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
16,Handicap divise,Deauville,58.000EU,2012-01-02,1.500 m,sand,Bon terrain,Ref: +18,right,13.30 EU,4.00 EU,3.80 EU,2.70 EU,13.0,15.0,M5,12,NaN,Robin-du-Nord-951243,13.0,12.0,F5,5,1/2,Yes-I-Do-980747,8.0,7.5,F6,4,1/2,Numérologie-929541,24.0,27.0,H4,3,1,Sun-Sea-Bird-992088,18.0,23.0,M5,13,nez,Mogadishio-949165,5.0,5.0,M6,14,cte tete,Sanaudou-922093,11.0,12.0,F5,7,cte tete,Rhenania-IRE-993732,8.3,7.0,M6,2,1 1/2,Caerleon-Wind-IRE-936437,49.0,39.0,M4,11,tete,Bungur-982317,11.0,13.0,H6,8,tete,Magic-Zen-939182,8.8,9.5,H8,1,NaN,Jodhpur-(GB)-861554,14.0,14.0,H4,6,NaN,Mi-Amor-SWI-968964,42.0,40.0,M5,16,NaN,Babylone-(IRE)-962565,33.0,29.0,H4,9,NaN,Garlin-Blues-E1-968220,62.0,49.0,M4,15,NaN,Moncofar-(IRE)-991481,53.0,45.0,H4,10,NaN,Uldiko-E1-968762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-02/reunion-deauville/resultats-rapports/prix-de-la-baie-de-seine-798290
16,Handicap divise,Deauville,16.000EU,2012-01-02,1.500 m,sand,Bon terrain,Ref: +31,right,10.40 EU,3.00 EU,1.60 EU,2.50 EU,10.0,5.5,F5,12,NaN,Blamar-ITY-1002006,3.5,4.5,F5,9,2,Lady-Hartwood-973368,8.3,10.0,M11,13,tete,Un-Amor-761421,23.0,15.0,H5,10,2,King-des-Aigles-948876,10.0,11.0,F4,15,nez,Passei-E1-968523,8.5,10.0,H6,4,cte tete,Flamsteed-IRE-951378,54.0,48.0,H10,16,1 1/4,Obe-Gold-GB-798189,65.0,31.0,F4,5,1/2,Ténakra-974757,16.0,20.0,M4,6,tete,Universal-Law-993909,37.0,34.0,F4,11,cte enc.,Tayyarra-1014399,37.0,33.0,F4,3,NaN,Ana-Style-984432,32.0,15.0,M4,2,NaN,Finnigan-E1-1002432,9.5,18.0,H5,1,NaN,Poker-Face-SWI-948871,23.0,28.0,H6,7,NaN,Loriedo-USA-951075,31.0,19.0,H4,14,NaN,Blue-Master-983164,20.0,20.0,M5,8,NaN,Mythic-Tango-986598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-02/reunion-deauville/resultats-rapports/prix-de-la-seine-maritime-798319
15,Handicap divise,Deauville,20.000EU,2012-01-02,1.500 m,sand,Bon terrain,Ref: +27.5,right,3.90 EU,1.60 EU,2.40 EU,3.00 EU,3.9,5.5,H6,13,NaN,Agnès-Champ-902814,7.5,12.0,F5,14,1/2,Isle-of-Pearl-(IRE)-956641,12.0,10.0,M5,10,cte tete,John-Fitgerald-IRE-977599,22.0,10.0,F4,8,1 1/2,Cant-Catch-Cathy-IRE-1001466,7.8,10.0,H4,6,cte tete,Golden-Boy-IRE-993742,13.0,11.0,F4,2,3/4,Ushnika-982316,50.0,75.0,M4,15,enc.,Nova-Neyev-988318,27.0,28.0,H5,7,tete,Akton-City-941055,10.0,8.0,F4,9,1/2,Karlinha-IRE-995928,56.0,25.0,F4,11,cte enc.,Come-Back-To-Me-968140,10.0,11.0,F5,4,NaN,Bertie's-Best-GB-945101,14.0,10.0,H9,16,NaN,Hidden-Rainbow-IRE-830724,53.0,37.0,M4,12,NaN,Iyanus-GER-1027487,29.0,15.0,F6,1,NaN,Fly-Dream-920444,16.0,21.0,H5,3,NaN,Intrepido-(IRE)-970168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-02/reunion-deauville/resultats-rapports/prix-du-canal-du-havre-798317
16,Handicap divise,Deauville,28.000EU,2012-01-02,1.500 m,sand,Bon terrain,Ref: +23,right,4.40 EU,2.20 EU,5.90 EU,3.50 EU,4.4,11.0,H6,7,NaN,Nenzo-GER-919296,16.0,9.5,F4,5,tete,Birthday-Sun-GER-996717,12.0,7.3,F6,10,cte enc.,Sargasses-941309,15.0,17.0,H5,11,1/2,Stelrock-942794,8.0,5.3,M4,3,cte tete,Rovos-974821,21.0,24.0,H6,6,cte enc.,Caraziyan-940634,11.0,20.0,H5,8,tete,Ohne-Tadel-GER-963102,25.0,22.0,F5,12,1 1/2,Lonsome-Drive-947906,102.0,117.0,H10,9,tete,Bold-Marc-IRE-798771,26.0,23.0,M6,4,nez,Royally-GB-903369,8.0,12.0,M4,2,NaN,Jag-War-968299,10.0,9.5,M5,15,NaN,Alkmaar-(GB)-956634,21.0,13.0,H9,14,NaN,Vantage-Point-817504,18.0,16.0,F4,1,NaN,Jolie-Noce-974705,23.0,17.0,H4,13,NaN,Inarco-995970,74.0,66.0,F4,16,NaN,Frenesia-(GB)-1011144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-02/reunion-deauville/resultats-rapports/prix-de-la-vallee-de-la-seine-798315
17,Handicap divise,Pau,16.000EU,2012-01-03,1.900 m,sand,Bon terrain,Ref: +36,right,17.80 EU,11.30 EU,2.60 EU,5.40 EU,33.0,21.0,H5,6,NaN,Poletto-GB-E3-959631,7.0,8.3,H9,13,nez,Bartholdi-(IRE)-815327,16.0,16.0,H5,2,1 1/2,Nombre-d'Or-(IRE)-964080,4.5,7.0,H7,15,1 1/2,Hornedo-895141,46.0,21.0,F5,10,1 1/2,Countess-E2-956029,18.0,18.0,H8,9,1 1/2,Foundouk-(IRE)-E4-862552,8.0,18.0,M8,14,cte enc.,Moskato-861458,39.0,23.0,H8,3,1 1/2,Bomber-Pilot-(IRE)-E4-843405,38.0,20.0,H9,4,4,Crossbill-GB-E3-877385,15.0,11.0,H8,1,1 1/2,Aka-Bay-852982,21.0,24.0,H6,7,NaN,Ashdeuzo-925071,47.0,26.0,M6,11,NaN,Soliste-Béré-908233,24.0,17.0,F5,16,NaN,Guilvine-E1-946502,6.3,5.3,H8,5,NaN,Skipper-Bleu-E2-895001,33.0,25.0,F5,12,NaN,Thsaam-952652,12.0,12.0,H6,8,NaN,Born-Lucky-915285,79.0,91.0,H7,17,NaN,Bloody-Winter-E1-907819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-03/reunion-pau/resultats-rapports/prix-de-lasclaveries-798144
16,Handicap divise,Pau,20.000EU,2012-01-03,1.900 m,sand,Bon terrain,Ref: +25,right,5.30 EU,2.60 EU,5.50 EU,3.10 EU,5.3,6.5,H5,5,NaN,Spécial-Request-971941,24.0,23.0,H5,14,1 1/2,Itathir-969613,8.0,7.3,M6,7,3/4,Tropical-Rain-925069,13.0,10.0,H5,8,1 1/2,Barzini-GER-954649,7.3,10.0,H5,3,3,David's-Boy-957800,52.0,30.0,M5,9,3/4,Forgotten-959329,16.0,19.0,H5,6,1,Zaal-944952,12.0,14.0,F5,15,1 1/2,Royale-Saga-973850,8.0,9.3,F5,4,1,Dragonnade-955302,8.0,9.0,H5,10,3/4,Whistleinthewind-IRE-983466,42.0,39.0,M7,12,NaN,Zacarias-889637,27.0,17.0,H6,2,NaN,Sir-Swing-925070,95.0,59.0,F6,1,NaN,Samana-Blue-921799,52.0,28.0,M8,16,NaN,Neilgwerz-910246,40.0,26.0,H5,13,NaN,High-Trick-958346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-03/reunion-pau/resultats-rapports/prix-pmu-tabac-alimentation-poutou-ade-798143
12,Handicap,Pau,18.000EU,2012-01-05,2.400 m,sand,Terrain collant,Ref: +27,right,5.00 EU,2.40 EU,9.50 EU,4.50 EU,5.5,3.5,M4,8,NaN,De-Bon-Matin-E1-968156,39.0,28.0,M4,11,3/4,Bright-Cat-968102,16.0,21.0,H4,1,nez,Sinan-SPA-976483,2.5,2.8,F4,5,1 1/2,Sable-Tropical-(GB)-999997,12.0,14.0,F4,4,3,Inaccessible-1008861,8.8,12.0,H4,6,1 1/2,The-Shack-1030072,6.0,8.8,H4,7,1 1/2,Carteret-974600,28.0,18.0,M4,12,3/4,Solicitor-976489,49.0,21.0,F4,3,1 1/2,Thaa-Valley-(GB)-E1-993290,15.0,22.0,F4,2,nez,Bonasita-974589,103.0,40.0,H4,9,NaN,Stilwell-985579,107.0,69.0,H4,10,NaN,Flexing-USA-996109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-05/reunion-pau/resultats-rapports/prix-de-theze-798226
16,Handicap divise,Deauville,20.000EU,2012-01-06,1.900 m,sand,Bon terrain,Ref: +24.5,right,30.10 EU,9.10 EU,2.50 EU,4.10 EU,30.0,15.0,H4,15,NaN,Trévières-968708,5.0,6.8,F4,13,(3/4),Dorade-Rose-968174,13.0,17.0,F4,10,cte tete,Monarquia-(IRE)-968907,23.0,18.0,F4,16,1,Lemon-River-1030076,5.5,9.8,M4,8,3/4,Goalfire-994080,8.8,8.0,F4,5,tete,Getting-Better-1011159,15.0,21.0,F4,11,d.-h.,Grise-Leigh-975386,13.0,15.0,H4,2,tete,Landoun-1010584,12.0,8.3,H4,12,cte enc.,Gran-Kaldoun-1013182,78.0,52.0,F4,9,3/4,Leave-For-Hope-1013142,19.0,16.0,F4,7,NaN,Alexandra-Blue-1001160,32.0,23.0,F4,14,NaN,Gooey-(IRE)-1010012,13.0,11.0,F4,3,NaN,Cat-Princess-(IRE)-1014746,39.0,15.0,H4,4,NaN,Valerius-Maximus-GB-991633,11.0,20.0,M4,6,NaN,Lakbar-975338,47.0,18.0,H4,1,NaN,Sèvres-Ship-1023754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-06/reunion-deauville/resultats-rapports/prix-du-bois-hamiot-798356
16,Handicap divise,Deauville,58.000EU,2012-01-06,2.400 m,sand,Bon terrain,Ref: +17 +19,right,11.40 EU,4.00 EU,4.50 EU,9.40 EU,11.0,7.8,H7,3,NaN,Touching-Kings-874373,13.0,22.0,H4,1,nez,Born-to-Compète-1000681,35.0,15.0,M5,9,1,Nova-Med-IRE-955538,10.0,16.0,H4,10,cte tete,Intercepteur-968280,3.5,3.0,F4,15,1 1/2,Golden-Shower-968249,8.5,11.0,H6,5,cte enc.,Sirocco-de-Pame-924537,62.0,41.0,F9,12,cte tete,Gayanevees-832979,13.0,18.0,H8,4,1/2,Lion-de-l'Odet-(GB)-861407,7.3,9.5,F5,7,cte enc.,Green-China-975078,10.0,24.0,M4,8,tete,Appleby-GER-1013745,33.0,42.0,H5,16,NaN,Lucky-Harry-961235,37.0,20.0,H5,14,NaN,Vrotos-(IRE)-988013,24.0,18.0,M9,13,NaN,Green-Tango-815547,70.0,53.0,M6,11,NaN,Atila-Sher-Danon-GER-942730,39.0,35.0,M7,2,NaN,Spider-Flight-893308,42.0,24.0,H7,6,NaN,Dream-Youn-924526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-06/reunion-deauville/resultats-rapports/prix-du-mont-saint-michel-798349
16,Handicap divise,Deauville,20.000EU,2012-01-06,2.400 m,sand,Bon terrain,Ref: +29.5 +31.5,right,12.50 EU,4.40 EU,7.00 EU,9.50 EU,13.0,8.5,F5,11,NaN,Hecate-(IRE)-993202,20.0,11.0,H7,10,2,Spidello-E1-887195,37.0,48.0,H6,13,1/2,Winny-Moun-957953,4.0,5.0,H10,14,tete,First-Way-FR-825046,49.0,52.0,H6,5,3/4,First-Sundown-915292,14.0,10.0,H7,7,3/4,Ankhor-Vat-(GB)-873524,11.0,13.0,F4,4,cte enc.,Faraude-1000033,43.0,20.0,F7,8,1/2,Citydex-du-Frêne-874753,12.0,20.0,F5,3,nez,Kel-Away-951260,8.0,9.0,H6,16,2 1/2,My-Summer-E1-930440,25.0,25.0,H4,6,NaN,Society-Value-IRE-995319,19.0,18.0,H7,9,NaN,Monet's-Gold-(GB)-912990,7.3,13.0,F4,12,NaN,Golden-Power-GER-1021486,16.0,14.0,F4,15,NaN,Ulieska-1015797,84.0,43.0,H5,1,NaN,Agent-de-Change-(IRE)-970892,20.0,15.0,H6,2,NaN,Charming-River-909612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2012-01-06/reunion-deauville/resultats-rapports/prix-de-la-baie-798361
