starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
17,Handicap divise,Pau,16.000EU,2009-01-02,1.500 m,sand,Bon terrain,Ref: +35.5,right,2.70 EU,1.50 EU,4.40 EU,2.20 EU,2.7,4.0,H6,1,NaN,Rudolph-817766,22.0,18.0,H5,17,1/2,Kasch-de-l'Orme-843337,7.0,11.0,H8,3,3/4,Track-Show-(GB)-791127,53.0,51.0,F5,6,2,Ground-Zero-853102,15.0,16.0,H7,9,cte enc.,Habit-Taken-(IRE)-815505,115.0,59.0,H6,10,1 1/2,Kenim-828459,14.0,11.0,H8,14,2 1/2,Bleu-Pastel-761815,12.0,13.0,H8,11,1 1/2,Royal-Océan-762652,20.0,13.0,F5,13,1/2,Marigot-E1-869350,24.0,17.0,F5,5,tete,Glamoureuse-851804,66.0,47.0,F5,16,NaN,Mante-843216,12.0,7.8,H10,8,NaN,First-de-Cerisy-708230,90.0,43.0,H12,2,NaN,Le-Bila-668315,45.0,32.0,F5,4,NaN,On-The-Dot-(IRE)-858058,126.0,83.0,F6,12,NaN,Rinum-Lodge-840712,25.0,14.0,H8,15,NaN,Loup-Bird-E1-769956,12.0,13.0,H7,7,NaN,Scrambler-794488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-02/reunion-pau/resultats-rapports/prix-pmu-cafe-le-12-auch-696428
16,Handicap divise,Pau,20.000EU,2009-01-02,1.500 m,sand,Bon terrain,Ref: +26,right,3.60 EU,1.90 EU,3.40 EU,6.10 EU,3.6,7.0,H6,5,NaN,Bobtail-833288,13.0,18.0,H5,3,2 1/2,Nachos-854076,23.0,22.0,M7,1,2,Jano-USA-804208,38.0,13.0,F5,12,1 1/2,Royal-Tiara-UAE-881609,11.0,11.0,H5,4,tete,Mister-Jane-844913,18.0,11.0,M7,13,tete,Asagild-787552,55.0,30.0,H5,2,2 1/2,Polimorphe-857234,19.0,18.0,M5,8,1 1/2,Moskato-861458,31.0,15.0,H9,15,2,On-Line-737682,14.0,20.0,H8,9,1 1/2,Toledo-769277,22.0,43.0,M8,6,NaN,Clifton-763005,18.0,9.5,H8,16,NaN,Swing-Voter-(GB)-761692,23.0,16.0,M5,7,NaN,Sea-of-Grass-(IRE)-848387,54.0,40.0,H8,17,NaN,Mas-de-Provence-777965,7.3,10.0,H5,11,NaN,Totdrou-882849,8.5,11.0,H8,10,NaN,Admiratif-761717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-02/reunion-pau/resultats-rapports/prix-pmu-cafe-du-boulevard-pau-696427
15,Handicap,Pau,18.000EU,2009-01-05,1.500 m,sand,Bon terrain,Ref: +26,right,7.60 EU,2.40 EU,1.80 EU,3.70 EU,7.6,14.0,M4,13,NaN,Rey-Davis-IRE-883856,5.8,8.3,H4,7,1/2,New's-Ivoire-878335,14.0,14.0,F4,11,3/4,Sandside-880920,44.0,16.0,H4,5,1 1/2,Bruneté-E1-905408,13.0,9.5,F4,6,3/4,Nul-ne-Saura-893110,9.5,14.0,M4,14,2 1/2,Jafar-Second-883486,18.0,9.5,H4,10,cte enc.,Neige-Eternel-E1-884980,41.0,16.0,M4,1,5,Le-Big-Boss-877946,64.0,33.0,F4,4,3/4,Villa-Barakat-898957,24.0,22.0,H4,3,enc.,Indian-Beau-873802,14.0,31.0,F4,8,NaN,Baenia-907895,14.0,12.0,F4,9,NaN,Bavaria-Queen-887211,4.0,4.5,F4,2,NaN,Lazy-Afternoon-(IRE)-883469,33.0,21.0,F4,12,NaN,Danse-de-Boitron-878336,65.0,40.0,F4,15,NaN,Voie-Lactée-880222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-05/reunion-pau/resultats-rapports/prix-d-ogeu-les-bains-696531
16,Handicap,Pau,30.000EU,2009-01-07,2.400 m,sand,Bon terrain,Ref: +28,right,8.90 EU,4.80 EU,1.60 EU,2.60 EU,19.0,17.0,M4,14,NaN,Bilbo-Quest-GB-E1-897957,3.8,3.3,F4,8,1/2,Izoko-904270,8.5,10.0,H4,13,2,Jack-de-Luz-911068,18.0,15.0,H4,1,2,Beaubahhare-E2-891261,58.0,38.0,H4,9,2 1/2,Xin-885121,34.0,32.0,F4,6,2 1/2,I-Am-A-Kawa-Star-901542,13.0,17.0,F4,15,4,My-Lorelei-889150,13.0,15.0,M4,3,2 1/2,Buddy-Luck-895462,18.0,17.0,F4,2,nez,Ice-Woman-891978,20.0,16.0,F4,16,enc.,Kutubia-904274,6.5,6.8,F4,11,NaN,Sagodi-Mogotsi-893696,19.0,19.0,F4,5,NaN,Rapsodie-du-Désert-E2-893702,17.0,15.0,F4,10,NaN,Rabiba-E1-904272,75.0,57.0,F4,7,NaN,Grande-Affaire-873700,63.0,41.0,F4,12,NaN,Ura-SPA-881094,54.0,32.0,F4,4,NaN,Dou-Ven-873609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-07/reunion-pau/resultats-rapports/prix-de-theze-696770
10,Handicap,Pau,18.000EU,2009-01-07,1.900 m,sand,Bon terrain,Ref: +27,right,10.30 EU,2.20 EU,1.40 EU,1.70 EU,10.3,10.0,M4,8,NaN,Le-Grillon-889931,3.8,3.0,M4,2,tete,Ericonouchou-873642,4.8,8.5,F4,9,1,Chiefd'ouilly-890800,11.0,17.0,H4,4,1/2,Royal-Chop-910287,13.0,12.0,M4,10,3,Al-Waled-873499,7.0,5.8,H4,6,tete,Mister-Adrien-877947,51.0,19.0,H4,3,1/2,Bachat-Bouloud-884246,5.3,6.8,F4,7,3/4,Sister-Arwen-874299,23.0,16.0,M4,1,3,Laomedon-873876,36.0,22.0,M4,5,1 1/2,Camfair-879062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-07/reunion-pau/resultats-rapports/prix-de-gabaston-696769
15,Handicap divise,Deauville,48.000EU,2009-01-07,1.500 m,sand,Bon terrain,Ref: +19.5,right,8.90 EU,3.00 EU,2.90 EU,8.20 EU,8.9,17.0,M6,14,NaN,Fareion-GER-866661,7.5,7.8,M5,2,tete,Slickly-Royal-843018,35.0,22.0,H7,12,1 1/2,Stop-Making-Sense-(GB)-788955,5.3,7.0,H7,11,1 1/2,Sky-Crusader-GB-E1-822179,16.0,10.0,F4,1,cte tete,Sweet-Fortune-896592,4.0,6.5,M4,4,cte enc.,Chico-del-Sol-908732,12.0,10.0,H4,8,1/2,Time-For-Gold-874365,21.0,18.0,M7,13,1,De-Zéphyr-827928,36.0,19.0,M4,7,cte enc.,Diocleziano-USA-888019,66.0,30.0,M4,5,1 1/2,Alhaurin-USA-E1-905561,26.0,20.0,F6,16,NaN,Tianshan-831924,38.0,15.0,H4,3,NaN,Ballinapark-879568,14.0,10.0,M6,9,NaN,Mesnil-des-Aigles-816666,13.0,13.0,M5,15,NaN,Tatsuya-854619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-07/reunion-deauville/resultats-rapports/prix-de-la-baie-de-seine-696665
14,Handicap,Deauville,19.000EU,2009-01-07,1.300 m,sand,Bon terrain,Ref: +27,right,7.30 EU,2.40 EU,4.20 EU,3.10 EU,7.3,11.0,M4,3,NaN,Signorsi-874292,17.0,28.0,H4,8,2 1/2,Cordon-Bleu-IRE-906665,8.3,7.5,M4,7,cte enc.,Texan-Dream-(IRE)-902624,10.0,6.8,F4,5,1 1/2,Zia-Sofi-882874,53.0,30.0,M4,2,nez,Ouranos-909579,13.0,10.0,H4,4,enc.,Blue-Gate-(IRE)-907877,16.0,29.0,M4,12,1 1/2,Carrickmacross-IRE-895996,13.0,19.0,F4,9,tete,Amelkis-873513,4.0,3.8,F4,14,3/4,Miss-Money-Penny-873960,49.0,41.0,M4,10,1 1/2,Namestick-USA-E1-873988,5.3,9.0,M4,11,NaN,Roi-Béré-874181,52.0,28.0,H4,6,NaN,Emirati-IRE-E1-886714,67.0,20.0,H4,1,NaN,El-Diabolo-887428,38.0,18.0,F4,13,NaN,Blue-Lily-873614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-07/reunion-deauville/resultats-rapports/prix-des-hardroues-696681
15,Handicap divise,Deauville,19.000EU,2009-01-07,1.500 m,sand,Bon terrain,Ref: +27.5,right,4.20 EU,2.60 EU,3.70 EU,2.40 EU,9.5,8.3,M5,11,NaN,Cadran-E1-859473,11.0,13.0,M4,10,1,Agent-Almeida-GB-898109,6.5,10.0,H5,8,nez,Lunar-Storm-853263,4.0,5.3,F5,12,enc.,Surtsey-855211,15.0,20.0,H6,15,cte tete,Loup-Normand-817054,17.0,13.0,F4,6,cte tete,Douceur-Nocturne-884612,16.0,21.0,M6,4,1/2,Proci-Road-840705,7.5,8.3,M7,16,nez,Pacha-de-Retz-E1-800646,20.0,20.0,H7,7,tete,Mark-of-Tara-805800,13.0,11.0,M5,2,2,Mixedup-(GB)-868400,41.0,44.0,F6,14,NaN,Pixie-Dust-GER-849407,21.0,12.0,H7,5,NaN,Steed-788953,22.0,34.0,H4,13,NaN,Lord-Run-873906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-07/reunion-deauville/resultats-rapports/prix-de-la-seine-maritime-696686
15,Handicap divise,Deauville,23.000EU,2009-01-07,1.500 m,sand,Bon terrain,Ref: +25,right,12.50 EU,3.40 EU,2.30 EU,2.30 EU,13.0,14.0,H4,12,NaN,Gibor-897485,7.3,9.0,H5,11,1 1/2,Kenchop-844912,6.0,8.5,M5,7,cte enc.,Finikas-(GB)-855840,23.0,26.0,F5,13,3/4,Last-Storm-(GB)-E2-843366,42.0,14.0,F5,5,1/2,Bérénice-Pancrisia-E2-852626,18.0,18.0,F9,4,cte enc.,Very-Very-Risky-772615,15.0,19.0,F4,1,1,Mageska-884623,8.3,6.3,H8,16,1 1/2,Raganeyev-762620,14.0,8.3,M7,2,1/2,Bénodet-IRE-E1-817877,8.3,17.0,H6,8,2,Auzi-834985,7.3,9.8,M4,9,NaN,Rock-And-Chop-874179,23.0,35.0,F5,3,NaN,Nuit-de-Glace-E1-846626,52.0,28.0,F6,15,NaN,Galma-E1-836408,32.0,25.0,F5,10,NaN,Sans-Chichi-889284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-07/reunion-deauville/resultats-rapports/prix-de-la-vallee-de-la-seine-696685
15,Handicap,Deauville,16.000EU,2009-01-07,3.400 m,sand,Bon terrain,Ref: +32,right,4.50 EU,3.80 EU,2.80 EU,4.00 EU,11.0,13.0,F6,6,NaN,Karuda-E1-879089,9.0,34.0,H5,16,1/2,Quickly-du-Yams-887402,12.0,33.0,H6,5,3/4,Kohi-Nor-835023,9.5,27.0,M6,10,1/2,Lamborgino-834124,9.0,30.0,M8,12,1 1/2,Empereur-de-Calvi-776060,16.0,63.0,H6,7,1 1/2,Robin-de-Biercy-817060,8.8,34.0,H5,14,1 1/2,Linos-860223,8.0,13.0,F5,4,1 1/2,Star-Davis-E1-876056,27.0,56.0,F5,2,2,Deglet-Nour-863119,15.0,26.0,F5,9,1 1/2,Kandalasa-874631,4.0,14.0,F5,3,NaN,Rain-Star-842947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2009-01-07/reunion-deauville/resultats-rapports/prix-de-gouffern-696684
