starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
7,Handicap,Pau,22.000EU,2018-01-01,1.500 m,sand,NaN,Ref: +24,right,6.10 EU,2.70 EU,1.80 EU,NaN,6.1,6.8,F4,5,NaN,Hurry-IRE-1236941,2.8,3.5,F4,1,1/2,Jeannajonh-1215635,5.8,5.0,F4,4,tete,Fleurdelune-1214914,8.5,6.8,F4,3,1,Pretty-Strange-(IRE)-1215267,4.5,4.3,F4,6,3 1/2,Shoot-1232296,8.0,7.0,H4,7,5 1/2,Zing-1229420,48.0,31.0,F4,2,12,Haddeya-GB-1258170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-01/reunion-pau/resultats-rapports/prix-d-ogeu-les-bains-1058806
15,Handicap de categorie,Pornichet,14.000EU,2018-01-02,2.100 m,sand,NaN,Ref: +35,left,4.80 EU,2.20 EU,4.20 EU,2.90 EU,4.8,5.0,F5,9,NaN,Medha-1224034,16.0,12.0,F5,10,2,Vodka-Double-1225045,11.0,9.0,H7,8,tete,Downhill-Only-(GB)-1110508,5.0,5.5,H6,1,1,Carry-Out-1141067,17.0,13.0,F9,3,1/2,Bridjnaia-1033651,11.0,10.0,F9,12,1,Speak-Softly-1055682,15.0,17.0,F5,16,cte enc.,Mésima-FR-1209328,105.0,48.0,F6,5,3/4,Natalex-1190901,15.0,21.0,F7,15,tete,Sundaysun-1142932,10.0,18.0,H6,7,1 1/2,Mocklershill-1147833,6.3,14.0,H5,13,nez,Right-Charlie-1222121,20.0,11.0,F7,14,3 1/2,Sagavisca-1137845,41.0,21.0,F7,11,tete,Chérie-Coco-1096948,129.0,137.0,F8,4,cte enc.,Dynamoon-1072405,125.0,101.0,F8,6,2,Miss-Bowl-1102618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-02/reunion-pornichet/resultats-rapports/prix-magellan-1058822
12,Handicap,Pornichet,16.000EU,2018-01-02,3.100 m,sand,NaN,Ref: +30,left,3.40 EU,1.40 EU,1.40 EU,3.00 EU,3.4,5.0,M4,7,NaN,Chilperic-GB-1214731,3.3,4.0,H4,3,enc.,En-Plein-Cœur-(IRE)-1231053,16.0,14.0,H4,11,3/4,Butot-1214564,7.0,10.0,F4,13,1/2,Douriya-USA-1237199,22.0,8.0,F4,9,3,Another-Love-1243065,34.0,20.0,H4,12,1,Grand-Banks-(GB)-1236727,8.0,6.8,H4,1,2,Gold-d'Aze-1273820,8.5,10.0,H4,10,1/4,Jailhouse-(IRE)-1231582,83.0,42.0,F4,8,nez,Stallatina-1232286,89.0,25.0,F4,2,2 1/2,Bittersweat-1287110,39.0,21.0,H4,5,tete,Fool-Hill-(IRE)-1231332,68.0,27.0,H4,4,9 1/2,Zanzari-1214786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-02/reunion-pornichet/resultats-rapports/prix-cartier-1058819
10,Handicap de categorie,Pornichet,16.000EU,2018-01-02,1.700 m,sand,NaN,Ref: +30,left,9.30 EU,2.80 EU,1.80 EU,3.10 EU,9.3,9.5,F4,5,NaN,Etta-1214770,2.5,4.3,H4,11,1/4,Esperitum-1227411,12.0,7.5,H4,10,tete,Flauto-IRE-1262257,5.5,7.0,M4,8,3 1/2,Spanish-Gift-1251399,6.5,6.0,H4,7,nez,Rockdale-1229412,14.0,10.0,F4,3,2,Hermangarde-1223890,36.0,12.0,H4,9,2,Jackson-En-Bois-1221920,38.0,14.0,F4,1,6 1/2,La-Dame-en-Rouge-1220864,41.0,17.0,F4,4,3,Triplicate-1214990,11.0,10.0,F4,6,1/4,Anse-de-Bel'Amande-1273073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-02/reunion-pornichet/resultats-rapports/prix-bougainville-1058817
14,Handicap divise,Pau,17.000EU,2018-01-03,1.500 m,sand,NaN,Ref: +37,right,18.60 EU,4.50 EU,2.00 EU,3.10 EU,19.0,18.0,F7,2,NaN,Lando's-Girl-1135534,4.5,5.5,H12,8,1/2,Le-Valentin-936661,11.0,8.8,H11,6,2 1/2,L'Ami-Gaby-976065,8.0,7.3,M8,11,cte enc.,Holy-Cesar-GB-1063369,5.0,6.8,H8,9,cte tete,Lava-1069142,28.0,18.0,H7,3,enc.,Split-Step-(GB)-E2-1121215,27.0,15.0,M9,12,2,Garajonay-FR-E1-1020097,6.3,9.5,F6,4,tete,True-Reflection-IRE-1177759,14.0,16.0,F5,1,1/2,Singarra-1194255,30.0,15.0,H6,13,2,Eighteen-Poems-IRE-E1-1182795,68.0,41.0,H6,14,3/4,Correntoso-E1-1195326,14.0,11.0,H13,5,tete,Earl-of-Fire-GER-E2-890808,95.0,58.0,M8,7,1 1/4,Ale-Alessio-USA-1111381,16.0,15.0,F8,10,1,Ukranian-Blue-1062270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-03/reunion-pau/resultats-rapports/prix-de-maucor-1058833
13,Handicap divise,Marseille-Vivaux,18.000EU,2018-01-03,1.500 m,sand,Bon terrain,Ref: +25,left,13.20 EU,4.40 EU,14.20 EU,2.10 EU,13.0,20.0,H8,14,NaN,Blacksou-1060231,83.0,26.0,H6,12,tete,Its-My-Story-1136549,3.0,3.8,H6,5,1/2,Diway-1142019,11.0,16.0,F8,11,tete,Benjale-1062705,7.5,11.0,H8,10,tete,Lloydminster-1110587,33.0,13.0,H6,9,1,Vermix-1154954,59.0,20.0,M5,13,1/2,Downeva-1193367,24.0,18.0,H5,7,enc.,Vent-du-Large-1220271,87.0,36.0,H7,8,2 1/2,Spotted-Cat-(IRE)-1099092,8.5,6.8,H5,4,2,Cap-Rocat-1217938,16.0,10.0,F6,3,4,Pierre-Précieuse-1136552,20.0,21.0,M5,6,tete,Secretjim-1188492,4.5,5.8,H5,1,2 1/2,Verti-Chop-1173857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-03/reunion-marseille-vivaux/resultats-rapports/prix-de-cassis-1058824
13,Handicap divise,Pau,21.000EU,2018-01-03,1.500 m,sand,NaN,Ref: +27,right,2.60 EU,1.80 EU,2.00 EU,2.50 EU,3.0,3.8,H5,7,NaN,Milk-Bar-E1-1194433,6.8,7.8,H9,11,4 1/2,Louvain-1051930,8.5,10.0,M7,3,5 1/2,Life-Pride-1105168,12.0,8.8,H8,14,cte tete,Ezpeletako-1074328,65.0,78.0,M6,10,tete,Inevitable-Hermann-GB-1161595,23.0,27.0,H7,5,cte tete,Nomad-Arrow-(IRE)-1098237,63.0,28.0,H6,12,nez,Gojici-1175561,11.0,9.5,H5,2,1 1/4,Machistador-1173246,18.0,11.0,H6,8,2,Rahzi-E1-1150806,9.3,8.3,M6,13,tete,Eliminator-1138535,20.0,20.0,F6,1,3/4,Big-Letters-(IRE)-1154156,16.0,19.0,F6,9,1 1/4,Kick-Down-IRE-1147287,11.0,15.0,H5,4,loin,Duke-Béré-1217727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-03/reunion-pau/resultats-rapports/prix-du-conseil-general-des-pyrenees-atlantiques-1058835
14,Handicap divise,Marseille-Vivaux,15.000EU,2018-01-03,1.500 m,sand,Bon terrain,Ref: +34,left,4.80 EU,2.60 EU,3.80 EU,5.20 EU,5.0,9.3,H6,14,NaN,Campione-E1-1154513,14.0,9.0,M6,10,1 1/2,Pakistan-Treasure-IRE-E2-1258134,17.0,16.0,H8,5,1/2,Spirit-of-Teofilo-1101210,4.0,6.0,H7,3,enc.,Grey-Frost-1097854,6.3,5.0,H8,8,tete,Adjudant-Chef-1088750,17.0,13.0,H7,4,enc.,Voyager-1097175,6.8,11.0,F5,12,2 1/2,Issauroma-1172666,14.0,9.8,H10,9,1,Calon-Ségur-968111,26.0,14.0,F7,2,1,Yosra-1096177,38.0,24.0,H5,1,1/2,Empiric-(GB)-1189988,14.0,18.0,M7,6,cte enc.,Boyway-Cerisy-1138839,81.0,32.0,H5,7,tete,Ribot-Dream-(IRE)-E1-1173675,38.0,18.0,M9,11,1,Estarquefigue-1017697,74.0,73.0,H9,13,1/2,Full-Talent-AUS-E2-1138349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-03/reunion-marseille-vivaux/resultats-rapports/prix-du-cap-canaille-1058829
14,Handicap divise,Marseille-Vivaux,18.000EU,2018-01-03,2.600 m,sand,Bon terrain,Ref: +25.5 +27,left,5.20 EU,6.50 EU,2.40 EU,5.70 EU,36.0,21.0,F5,13,NaN,Emeraude-Flower-E2-1220600,5.0,5.0,F5,1,2 1/2,Randulina-1194843,18.0,18.0,F6,7,tete,Augusta-GER-1139890,9.0,9.3,H8,9,tete,Jasper-(GER)-1058017,6.0,11.0,H7,6,1,Très-Solid-E1-1116522,20.0,10.0,M5,14,1/2,Akram-1222110,6.0,5.3,H5,4,1,Belgian-Gentleman-E2-1181311,23.0,20.0,H7,5,cte tete,Grand-Gala-1156161,9.5,7.8,H9,10,1,Fantastic-Love-1056462,6.8,19.0,H7,11,3,Rosny-1134267,93.0,39.0,F7,8,4,Cielo-Raso-(IRE)-E1-1096972,21.0,18.0,H10,12,1 1/2,Zillion-Dollar-Cup-1013735,89.0,32.0,H5,2,enc.,Bonnet-Breton-1172205,20.0,15.0,H10,3,2 1/2,Fleuron-974676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-03/reunion-marseille-vivaux/resultats-rapports/prix-de-saint-jerome-1058826
14,Handicap divise,Marseille-Vivaux,15.000EU,2018-01-03,2.600 m,sand,Bon terrain,Ref: +35.5 +37,left,7.00 EU,2.50 EU,3.00 EU,3.80 EU,7.0,8.0,H6,8,NaN,Voisin-1152447,9.0,11.0,F5,5,nez,Leaping-GB-1235774,10.0,11.0,H6,7,2 1/2,Mot-de-Passe-1148347,12.0,12.0,H5,9,1/2,Top-Hat-Kitten-USA-1219292,23.0,12.0,H4,6,nez,Maigvil-1225825,40.0,13.0,H7,10,nez,Vim-E1-1096986,6.0,10.0,H5,13,1/2,Debt-of-Honour-E1-1227264,5.5,6.5,H7,2,1,Pleasant-Flight-1098521,5.8,10.0,M5,3,2 1/2,Ambre-Doux-1192344,29.0,12.0,F4,14,2 1/2,Eléna-Béré-1214817,19.0,11.0,F4,12,enc.,Malika-1230212,39.0,23.0,F4,4,3,Night-of-Mystery-1273209,39.0,22.0,H5,1,2 1/2,Brancaio-1172215,60.0,27.0,H5,11,enc.,Bonnie-And-Clyde-(IRE)-1200935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2018-01-03/reunion-marseille-vivaux/resultats-rapports/prix-de-saint-symphorien-1058825
