starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
15,Handicap divise,Pornichet,15.000EU,2020-01-02,2.400 m,sand,NaN,Ref: +35,left,10.90 EU,3.70 EU,2.40 EU,16.20 EU,10.0,16.0,H5,14,NaN,Estcourt-(GB)-1271486,4.8,5.8,H5,9,tete,Lord-Torranaga-1280754,67.0,30.0,F7,6,3/4,Adiabate-1223178,22.0,16.0,H6,8,nez,Monsieur-Bandido-1245138,7.3,9.5,H9,1,tete,Another-Beat-GER-1114028,10.0,16.0,F5,3,1/4,Last-Bright-1346635,6.8,8.0,H6,11,3/4,Crocy-1214667,6.0,5.3,H5,4,1/2,Escapade-Nocturne-1330323,18.0,18.0,H5,15,cte enc.,Tête-Raide-1302607,27.0,18.0,H9,2,5,History-Dream-1137365,11.0,7.5,F5,12,enc.,Wishing-Ruby-1281900,92.0,47.0,F5,16,5 1/2,Juninha-1267779,16.0,11.0,F5,7,3 1/2,Linngaria-1268319,62.0,35.0,F6,13,30,Brazilia-Talisker-1265623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-02/reunion-pornichet/resultats-rapports/prix-de-magellan-1181168
16,Handicap divise,Pornichet,12.000EU,2020-01-02,2.400 m,sand,NaN,Ref: +39,left,5.20 EU,2.40 EU,4.00 EU,2.60 EU,5.2,8.5,M7,1,NaN,Valley-Kid-1179665,12.0,9.5,F7,16,1 1/4,Jardin-Fleuri-1172673,7.8,10.0,H10,2,tete,Méralino-1062418,49.0,24.0,F5,15,3,Spring-Show-(IRE)-1290648,22.0,16.0,H8,3,cte enc.,Change-of-Gold-1175532,24.0,18.0,H7,13,1 1/2,Waldenon-1203816,5.0,7.5,H9,8,tete,Sun-And-Polo-1117696,36.0,15.0,F6,9,nez,Zaraganta-1264561,34.0,22.0,H5,14,2,Sicaire-1269585,18.0,20.0,H6,10,enc.,Winning-Pursuit-(IRE)-1214929,44.0,20.0,F11,7,4,Bridjnaia-1033651,18.0,17.0,H8,12,6,Deserto-1158616,10.0,12.0,F7,6,1/2,Tiger-Folish-1217591,11.0,10.0,H8,4,cte enc.,Ever-One-1142302,10.0,9.3,F8,5,2 1/2,La-Jubanaise-1179681,83.0,45.0,H7,11,30,Prince-of-Gracie-1290423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-02/reunion-pornichet/resultats-rapports/prix-de-paipo-1181169
16,Handicap divise,Pau,21.000EU,2020-01-02,2.000 m,sand,NaN,Ref: +28,right,5.90 EU,2.00 EU,2.40 EU,1.60 EU,5.9,8.3,H5,5,NaN,Giovanni-Dal-Ponte-(GB)-1267084,9.5,9.0,F5,4,1 1/2,Poevai-GER-1291714,3.8,3.8,F6,14,1/2,Balle-Réelle-1230099,18.0,17.0,H7,11,cte tete,Perego-ITY-1222641,23.0,21.0,F5,7,3/4,Brick-Is-Back-1265632,39.0,27.0,H9,2,1 1/4,Art-of-Zapping-1096585,19.0,14.0,F7,1,cte enc.,Rochenka-1173687,29.0,18.0,F6,16,tete,Fuenteesteis-1228206,7.5,11.0,F5,6,tete,Baie-d'Arguin-1264410,15.0,17.0,H7,8,cte enc.,See-The-Sun-1173900,13.0,14.0,H6,9,cte enc.,Acemanan-1260285,21.0,19.0,F6,15,1,Spirit-of-Eagle-1232378,27.0,22.0,H5,12,cte enc.,Hemiarton-1267269,75.0,42.0,F5,13,cte enc.,Flashy-1299488,61.0,38.0,F5,3,1/2,True-Amiitié-1299284,20.0,17.0,F8,10,3 1/2,Madiva-1166267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-02/reunion-pau/resultats-rapports/prix-du-conseil-general-des-pyrenees-atlantiques-1181162
16,Handicap divise,Pau,17.000EU,2020-01-02,2.000 m,sand,NaN,Ref: +36,right,7.90 EU,2.80 EU,16.10 EU,2.70 EU,7.9,14.0,H7,8,NaN,Sunday-Racer-1190935,66.0,45.0,H8,9,tete,Crack-Mambo-1203786,7.0,7.3,H9,14,cte enc.,Vim-1096986,4.3,5.0,H9,4,1 1/4,Sandoside-1098731,14.0,11.0,H11,6,tete,Picking-Up-Pieces-IRE-1040716,5.5,5.5,H5,13,3/4,Chocolat-Day-1265693,29.0,21.0,H6,12,1/4,Escala-1214798,10.0,10.0,H6,3,1/4,Illuminator-1231540,14.0,12.0,F6,11,enc.,Very-Deal-1214956,39.0,34.0,H6,7,1 3/4,Journaliste-1215642,79.0,38.0,H7,10,3/4,Ronchois-(GB)-1218064,20.0,15.0,H10,1,enc.,Hallsome-1074187,27.0,19.0,F6,15,cte enc.,Lochfield-IRE-1222538,22.0,24.0,H5,2,3/4,Cinquatia-1299478,107.0,56.0,H6,5,1,Stormberg-(IRE)-1224790,28.0,24.0,F6,16,9,Rose-Smart-1221932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-02/reunion-pau/resultats-rapports/prix-de-maucor-1181161
8,Handicap,Pornichet,16.000EU,2020-01-02,3.100 m,sand,NaN,Ref: +30,left,3.30 EU,1.50 EU,2.20 EU,2.00 EU,3.3,5.0,F4,3,NaN,Flute-en-Sol-1344181,9.8,17.0,H4,4,nez,Afrodisios-IRE-1372638,6.8,8.0,H4,2,6 1/2,Makslew-(IRE)-1314659,8.5,12.0,M4,1,1 1/2,Kiroz-1366503,16.0,10.0,F4,7,8,Fontenelle-1372676,3.5,2.5,H4,5,enc.,Rudevent-1355139,32.0,22.0,F4,8,4 1/2,Leadoza-1330346,6.8,4.8,F4,6,loin,Vie-en-Rose-1365838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-02/reunion-pornichet/resultats-rapports/prix-cartier-1181167
15,Handicap divise,Deauville,52.000EU,2020-01-03,2.500 m,sand,NaN,Ref: +20,right,7.10 EU,2.40 EU,4.80 EU,2.20 EU,7.1,6.5,H4,13,NaN,Chipiron-1346647,20.0,20.0,F4,8,1/2,Noblesse-d'Argent-1313239,5.0,4.5,M4,4,1/2,Richemont-1334713,75.0,52.0,H4,11,1 1/4,Silver-Condor-1316049,6.3,9.8,H4,16,1,Plateado-1318382,38.0,33.0,F4,14,tete,Lady-Lizzy-GB-1328075,9.5,10.0,H4,3,3,Van-Halo-1331923,18.0,16.0,H4,5,3/4,Sebecourt-(IRE)-1338043,31.0,25.0,H4,6,1/2,Lor-Blanc-1325157,19.0,27.0,F4,9,3/4,Balgees-Time-1333733,14.0,15.0,M4,12,tete,Moudir-1312453,9.0,9.5,H4,1,2 1/2,Ideal-Man-1370288,50.0,42.0,F4,7,tete,Simbaya-GER-1345856,12.0,9.5,M4,15,5,Hooking-(GB)-1311754,15.0,13.0,H4,10,2 1/2,Shaken-Not-Stirred-1315763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-03/reunion-deauville/resultats-rapports/prix-de-la-beauvoisiniere-1181174
12,Handicap,Deauville,20.000EU,2020-01-03,1.500 m,sand,NaN,Ref: +23.5,right,13.20 EU,2.60 EU,1.60 EU,1.50 EU,13.0,18.0,H3,12,NaN,Dutch-Chop-1374457,3.5,4.3,M3,7,2 1/2,Hernan-GB-1378973,3.8,3.5,H3,3,2 1/2,Sauzon-1362506,7.5,6.5,M3,1,1,Situmeledemandais-1368554,7.8,8.0,H3,5,1,Alkaid-1372723,10.0,10.0,F3,10,enc.,Milos-1361821,19.0,19.0,F3,9,cte enc.,Augustine-1375837,84.0,57.0,F3,6,d.-h.,Melrose-IRE-1388923,84.0,62.0,H3,8,tete,Goldmembers-1361671,16.0,15.0,F3,4,1 3/4,Exclusive-Beauty-1371860,16.0,16.0,F3,2,2,Miss-Vancouver-1392339,117.0,93.0,F3,11,9,Alissa-1361188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-03/reunion-deauville/resultats-rapports/prix-d-haspel-1181180
15,Handicap divise,Deauville,15.000EU,2020-01-03,1.500 m,sand,NaN,Ref: +36.5,right,15.30 EU,3.80 EU,2.30 EU,2.30 EU,15.0,8.5,F8,4,NaN,Armorica-(IRE)-1176780,6.0,9.8,M8,5,tete,Inevitable-Hermann-GB-1161595,7.3,8.0,H9,2,1 1/2,Split-Step-(GB)-1121215,7.3,11.0,F7,7,cte enc.,Brooke-(GB)-1191158,50.0,24.0,H8,3,1 1/4,Colibri-Caël-1191582,18.0,14.0,F5,1,enc.,Senza-Fine-1269597,8.8,7.5,F5,9,cte tete,Dusk-Till-Down-1325035,19.0,16.0,H10,10,tete,As-d'Artois-1075234,14.0,10.0,H6,14,1 1/4,Dawn-Promise-1221916,42.0,25.0,H10,15,cte enc.,Showtime-Star-GB-1170099,31.0,42.0,F5,13,tete,Jeremiade-1271613,3.5,4.8,F5,6,3 1/2,Storming-Out-1284280,66.0,36.0,H5,12,1/2,Nikaki-1322825,70.0,36.0,H6,8,1,Copacetic-IRE-1230897,130.0,45.0,F5,11,1 1/4,Interstellaire-FR-1279662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-03/reunion-deauville/resultats-rapports/prix-de-l-esque-1181177
15,Handicap divise,Deauville,19.000EU,2020-01-03,1.500 m,sand,NaN,Ref: +26 +26,right,4.40 EU,1.90 EU,4.30 EU,3.40 EU,4.4,6.0,H6,7,NaN,Green-Curry-(IRE)-1231454,13.0,19.0,F5,9,3/4,Rebelle-Bailly-1269321,11.0,11.0,H5,1,1/2,Cassard-1271317,12.0,10.0,H7,2,enc.,Senator-Frost-1219161,11.0,12.0,H9,4,1,Inséo-1118600,10.0,11.0,M7,3,cte enc.,Downeva-1193367,22.0,18.0,F6,12,1/2,Wyck-Hall-1232414,22.0,19.0,H5,16,cte enc.,Domagnano-IRE-1296124,21.0,37.0,F5,10,1/2,Kaaba-Stone-IRE-1293519,26.0,19.0,H8,6,enc.,Borsakov-(IRE)-1140626,15.0,14.0,H5,5,enc.,Charnock-Richard-GB-1280294,18.0,12.0,H6,11,3/4,Zanzibar-1247178,8.8,17.0,H6,14,1/2,Mr-Slicker-1268888,115.0,41.0,F5,13,10,Fléchette-1273345,8.5,5.0,H6,8,2,Gourel-1215456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-03/reunion-deauville/resultats-rapports/prix-de-l-aure-1181175
15,Handicap divise,Deauville,17.000EU,2020-01-03,1.500 m,sand,NaN,Ref: +32,right,11.20 EU,4.10 EU,4.50 EU,4.20 EU,11.0,15.0,H7,5,NaN,Dothraki-GER-1204264,13.0,12.0,M7,13,1 1/2,Kiwi-Green-Suite-BRZ-1272998,12.0,10.0,F5,12,enc.,Heptathlete-IRE-1298821,37.0,26.0,H11,4,cte enc.,Cloud-GER-1057142,15.0,10.0,F5,9,cte tete,Kallikrates-1283202,28.0,14.0,F7,14,enc.,Des-Années-Folles-1182966,3.5,4.5,M5,8,cte enc.,Siglo-de-Oro-IRE-1269559,8.5,10.0,H6,11,cte enc.,Danarosa-IRE-1236969,35.0,23.0,F5,6,cte tete,Ardeatina-GB-1276455,8.0,12.0,H7,10,tete,Handchop-1172842,27.0,21.0,H8,7,3,Zéphir-1138052,10.0,8.5,F5,3,1/2,Vitabella-1266598,16.0,20.0,H8,2,1,Vision-of-Twilight-1152424,22.0,20.0,F6,16,1 1/4,Baby-Jane-1251394,92.0,32.0,F5,15,9,Pailledevant-1287147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2020-01-03/reunion-deauville/resultats-rapports/prix-de-l-aurette-1181176
