starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
10,Handicap,Pau,22.000EU,2017-01-01,1.500 m,sand,Bon terrain,Ref: +28,right,3.30 EU,1.40 EU,1.70 EU,1.50 EU,3.3,4.3,H4,7,NaN,Milk-Bar-1194433,5.5,8.5,M4,6,1 1/4,Teba-Mateba-FR-1213689,5.0,5.3,F4,2,6,Singarra-1194255,13.0,17.0,M4,8,cte enc.,Gris-d'Aspe-1224793,41.0,21.0,F4,4,3 1/2,Olgivanna-1173497,13.0,15.0,H4,5,cte enc.,Mercenary-GER-1173300,4.5,3.0,M4,10,3 1/2,Al-Lopez-E1-1172128,24.0,21.0,H4,3,2,Machistador-1173246,24.0,18.0,M4,11,2,Dark-Silver-1173994,45.0,22.0,M4,1,17,Diégo-Béré-E1-1179324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-01/reunion-pau/resultats-rapports/prix-d-ogeu-les-bains-1009316
15,Handicap divise,Deauville,19.000EU,2017-01-02,2.500 m,sand,Bon terrain,Ref: +29,right,3.20 EU,1.50 EU,2.40 EU,2.20 EU,3.2,6.0,M5,4,NaN,Edington-GER-1184630,9.5,16.0,F5,12,enc.,Already-Famous-1180984,6.3,3.5,H5,10,3/4,Big-Bear-1192109,8.0,9.3,H5,8,1/2,Atilla-1139830,11.0,15.0,H5,7,3/4,Swing-State-1152092,14.0,15.0,F5,1,nez,City-Princess-1141357,69.0,62.0,H5,2,3/4,Gili-Emery-1189301,15.0,13.0,F5,16,enc.,Permskaya-1178161,17.0,16.0,F5,9,1,Stacey-Sutton-1188728,29.0,32.0,F5,6,enc.,Granada-1178559,36.0,14.0,F5,13,enc.,La-Maremma-1145256,17.0,14.0,H5,3,1 1/4,Kant-Excell-1145101,39.0,27.0,F5,15,nez,Shannoise-1189901,85.0,42.0,H5,14,1 1/4,Ahmed-Pride-1193132,39.0,23.0,F5,5,2,Turtle-Beach-1135435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-02/reunion-deauville/resultats-rapports/prix-de-fontaine-1009320
16,Handicap divise,Deauville,17.000EU,2017-01-02,2.500 m,sand,Bon terrain,Ref: +35.5,right,8.60 EU,2.60 EU,5.90 EU,2.20 EU,8.6,10.0,H5,3,NaN,Alessio-1138275,29.0,19.0,H5,13,enc.,Teji-L'Artiste-E1-1152187,5.3,7.0,F5,7,1 1/2,Albufera-1138251,60.0,66.0,H5,10,tete,What-A-Story-1153086,8.8,7.3,F5,4,1,Caritas-GER-1135798,18.0,21.0,M5,8,3/4,Molaukev-1165869,23.0,16.0,H5,5,3/4,Should-I-Dream-1159874,70.0,39.0,H5,12,1,Khentykhety-1182927,14.0,20.0,F5,6,tete,Bilaperfecta-1140602,20.0,25.0,F5,2,1,Bubbly-1133112,11.0,8.5,H5,15,1,Charly-Green-1186820,13.0,10.0,H5,9,1 1/4,Max-Attack-E1-1137675,4.3,5.5,H5,1,1 1/2,Slon-He-(GB)-1151971,21.0,14.0,H5,16,2 1/2,Marcel-Debruxelles-1178842,113.0,38.0,H5,11,tete,Inca-d'Or-1183019,32.0,32.0,H5,14,10,Canopus-1153191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-02/reunion-deauville/resultats-rapports/prix-de-la-roche-1009322
16,Handicap divise,Deauville,24.000EU,2017-01-02,1.300 m,sand,Bon terrain,Ref: +25,right,2.50 EU,1.40 EU,2.40 EU,1.50 EU,2.5,4.3,H4,4,NaN,Royal-Vati-1224042,15.0,13.0,M4,3,3/4,Passeport-(IRE)-1187270,4.0,3.5,M4,5,cte tete,Join-Us-(IRE)-1223492,17.0,27.0,H4,7,1/2,Olsztyn-E1-1209330,36.0,35.0,F4,10,3/4,Kenshaba-1173104,48.0,20.0,M4,11,1,Shamatorio-1221099,15.0,9.3,F4,14,cte tete,Câlina-1172234,10.0,14.0,F4,13,1/2,Blue-Martini-GER-1172195,22.0,19.0,F4,6,cte enc.,Octavia-1173495,16.0,14.0,H4,1,tete,Nimo-1186798,37.0,39.0,M4,9,tete,Rainmaker-FR-1198448,106.0,45.0,F4,12,3/4,Touch-of-Real-E1-1185365,76.0,37.0,F4,8,2 1/2,Zenta-IRE-1209509,68.0,20.0,F4,2,cte enc.,Bishnoï-1204427,45.0,24.0,F4,15,2,Mademoiselle-Flore-(GB)-1217981,123.0,99.0,H4,16,12,Clinomane-1177769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-02/reunion-deauville/resultats-rapports/prix-des-douets-1009325
16,Handicap divise,Deauville,20.000EU,2017-01-02,1.300 m,sand,Bon terrain,Ref: +32,right,3.70 EU,2.00 EU,3.00 EU,3.20 EU,3.7,6.5,F4,16,NaN,Cara's-Muse-IRE-1199532,9.5,9.0,M4,10,1 1/2,Viking's-(IRE)-1178324,12.0,19.0,H4,5,3/4,Qaboos-1245806,11.0,10.0,H4,13,cte enc.,Bromley-Cross-IRE-1235658,22.0,16.0,F4,14,1/2,Ever-Desdemone-1188978,32.0,14.0,M4,3,d.-h.,Dobby-First-E1-1200937,6.3,8.3,F4,11,nez,Zeeda-IRE-1194510,112.0,44.0,F4,7,1 1/4,Kayana-GER-E2-1197543,140.0,61.0,H4,15,nez,Iteratus-1172667,27.0,16.0,M4,1,cte enc.,Ténorio-E1-1200138,5.3,5.0,H4,2,tete,Becquagemme-1172107,15.0,21.0,H4,12,1/2,Ribot-Dream-(IRE)-1173675,87.0,36.0,F4,8,cte tete,Vezanne-E2-1221874,39.0,25.0,F4,9,1 1/2,Egara-1186550,19.0,13.0,F4,4,4 1/2,Tax-Heaven-(IRE)-1173724,83.0,48.0,H4,6,cte enc.,Via-Cassia-(GB)-1188501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-02/reunion-deauville/resultats-rapports/prix-des-rus-1009327
15,Handicap de categorie divise,Pornichet,14.000EU,2017-01-03,2.400 m,sand,Bon terrain,Ref: +35,left,8.70 EU,2.50 EU,1.90 EU,4.20 EU,8.7,14.0,H5,4,NaN,Deserto-1158616,4.0,4.5,H5,7,3,Really-Frost-1150838,16.0,14.0,H7,13,1,Attawo-1062197,10.0,9.0,H7,6,nez,Dome-de-la-Blairie-1122972,27.0,14.0,F5,12,1/4,Ciel-de-Paris-GB-E1-1225025,9.5,12.0,H9,15,3/4,Ecomi-IRE-995322,76.0,35.0,H7,10,cte tete,Derwent-USA-1068486,22.0,15.0,H7,3,nez,Néron-1089482,18.0,16.0,M6,14,cte tete,Eclair-du-Ninian-1145810,26.0,27.0,H6,5,3 1/2,Al-Musheer-E1-1096719,56.0,29.0,H7,2,tete,Just-A-Pound-IRE-1067951,20.0,18.0,H8,16,3,Sethi-Quercus-1029821,3.5,4.5,H6,8,2,Speculator-1136982,89.0,35.0,F5,1,cte tete,Summer-Eve-(IRE)-1192583,116.0,34.0,H6,9,loin,Servantes-(IRE)-1099070,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-03/reunion-pornichet/resultats-rapports/prix-tabarly-1009342
16,Handicap de categorie divise,Pornichet,10.000EU,2017-01-03,2.400 m,sand,Bon terrain,Ref: +38.5,left,7.40 EU,2.70 EU,3.30 EU,3.00 EU,7.4,10.0,F6,8,NaN,Sagavisca-1137845,11.0,10.0,H5,5,1 1/2,Shotgun-E1-1147150,6.8,4.8,H7,11,3/4,Redbulldevaige-1109930,41.0,34.0,H6,4,3/4,Love-Strike-(IRE)-1124375,11.0,12.0,F5,2,3/4,La-Jubanaise-1179681,33.0,19.0,H5,10,nez,Dom-Tommy-1182230,4.5,6.0,H6,3,3/4,Saga-Man-1120665,6.8,9.0,H6,14,1/4,Vim-E1-1096986,16.0,11.0,H10,1,enc.,Grand-Akbar-973616,13.0,29.0,H6,9,3/4,Sun-And-Polo-1117696,41.0,22.0,H8,16,2,Ali-Blue-1029813,51.0,41.0,H5,6,enc.,Lilalco-1144540,43.0,22.0,H6,13,3/4,Hussard-(GB)-1097508,15.0,15.0,H9,15,4,Golden-Criss-(IRE)-997281,97.0,57.0,H6,12,2,Poonam-1098579,131.0,62.0,F6,7,loin,Isma'touch-1122253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-03/reunion-pornichet/resultats-rapports/prix-colas-1013077
13,Handicap,Pornichet,16.000EU,2017-01-03,1.700 m,sand,Bon terrain,Ref: +27,left,5.90 EU,1.70 EU,2.00 EU,1.40 EU,5.9,10.0,H4,2,NaN,Barbassionne-1205663,6.5,9.0,H4,6,3/4,Miracle-des-Aigles-1173307,2.8,2.8,F4,8,1/4,Sea-of-Knowledge-(IRE)-1193288,10.0,7.0,F4,10,nez,Kitkarma-1219737,147.0,61.0,F4,4,2 1/2,Gold-And-Roses-1193535,48.0,71.0,H4,5,1 3/4,Dazari-1227263,16.0,20.0,F4,11,cte enc.,Storaya-1223195,56.0,36.0,F4,1,cte enc.,New-Yorkaise-1207186,12.0,12.0,F4,12,tete,Fine-Intention-1201917,9.5,7.5,H4,3,1/4,King-Dream-1188499,66.0,37.0,F4,13,2 1/2,Santanna-1189044,52.0,29.0,F4,9,1 3/4,I'll-Be-Back-1203817,15.0,13.0,H4,7,2,Always-In-Blue-1225257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-03/reunion-pornichet/resultats-rapports/prix-bougainville-1009335
16,Handicap de categorie,Pornichet,14.000EU,2017-01-03,1.700 m,sand,Bon terrain,Ref: +35,left,31.60 EU,7.30 EU,2.80 EU,2.60 EU,31.0,25.0,H9,4,NaN,Invincible-Viking-IRE-995324,7.0,10.0,H6,3,nez,Tree-of-Grace-1147446,8.0,7.8,H5,14,3/4,Notre-Archange-1154414,7.5,7.0,M7,13,2,Della-Mood-1054914,12.0,12.0,F6,11,tete,Six-Côtés-(GB)-1133163,12.0,11.0,H6,9,3/4,Singapore-Mist-1103247,19.0,23.0,H7,16,nez,Lutteur-Royale-1106935,84.0,52.0,H6,5,1 1/2,Split-Step-(GB)-1121215,93.0,25.0,F6,12,nez,Kerstenia-1097746,14.0,13.0,H9,8,1/4,Layman-Junior-975402,86.0,33.0,F8,15,1/4,Night-of-Paris-1039629,23.0,17.0,M10,1,3/4,Bottega-USA-951688,12.0,13.0,H6,6,1/2,Saint-Clément-1098969,10.0,11.0,H7,7,1 1/2,King's-Risk-1065043,5.0,6.5,F5,10,2 1/2,Kersea-1182246,115.0,47.0,F6,2,10,Implora-1112322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-03/reunion-pornichet/resultats-rapports/prix-magellan-1009340
12,Handicap divise,Pau,21.000EU,2017-01-04,1.500 m,sand,Bon terrain,Ref: +27,right,4.90 EU,1.60 EU,2.70 EU,1.60 EU,4.9,5.5,H8,12,NaN,Louvain-1051930,14.0,24.0,H6,8,1 1/4,Ragazzo-FR-1098275,3.3,3.0,M5,1,enc.,Eliminator-1138535,8.8,7.3,H5,2,1 1/4,Vitor-1143648,28.0,45.0,F5,6,2 1/2,Kick-Down-IRE-1147287,10.0,7.8,M7,5,3/4,Holy-Cesar-GB-1063369,10.0,11.0,F5,11,3,Lisnavagh-1141602,31.0,26.0,M8,13,1,Takar-IRE-1033637,18.0,26.0,F5,3,cte enc.,Laviva-USA-1170168,21.0,22.0,H7,10,enc.,Lava-1069142,12.0,16.0,H7,7,2 1/2,Kilimandjaro-1090660,27.0,17.0,H5,4,18,Sweet-Revenge-1173487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2017-01-04/reunion-pau/resultats-rapports/prix-du-conseil-general-des-pyrenees-atlantiques-1009355
