starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
16,Handicap,Pau,20.000EU,2013-01-01,2.400 m,sand,Bon terrain,Ref: +26.5,right,10.80 EU,2.60 EU,3.10 EU,1.60 EU,10.8,10.0,M4,8,NaN,Droit-au-Rêve-1034842,10.0,9.0,F4,14,tete,American-Beauty-(IRE)-1047748,3.5,5.0,F4,12,2,Inca-Rose-1033655,17.0,23.0,M4,6,1 1/2,Blue-Nak-1031898,7.5,12.0,F4,9,1,Alatasarai-(IRE)-1054300,41.0,16.0,F4,1,4,Baraamej-IRE-1026213,18.0,9.8,H4,5,3/4,Roi-Bréhonnais-1063373,79.0,45.0,H4,16,enc.,No-Siteparece-1037483,89.0,39.0,M4,13,1 1/2,Musculaire-1047732,9.0,8.5,M4,11,1 1/2,Donosti-IRE-1018499,13.0,19.0,H4,10,NaN,Monius-IRE-1031903,24.0,15.0,F4,7,NaN,Viola-de-la-Roque-1026223,7.5,6.5,F4,2,NaN,For-You-and-For-Me-1039625,34.0,49.0,H4,15,NaN,Saline-Hill-GB-1029499,217.0,112.0,H4,4,NaN,Rotomagus-1031797,220.0,147.0,H4,3,NaN,Thormandy-1023650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-01/reunion-pau/resultats-rapports/prix-de-theze-833656
18,Handicap divise,Pau,17.000EU,2013-01-03,1.950 m,sand,Bon terrain,Ref: +34.5,right,7.60 EU,2.50 EU,7.30 EU,1.70 EU,7.5,9.3,H5,17,NaN,Ty-Bolide-E1-1045025,62.0,21.0,H6,5,3/4,Passambleu-E2-947064,3.5,5.5,H10,4,cte enc.,Cuban-816577,28.0,17.0,H6,6,3/4,Nombre-d'Or-(IRE)-E2-964080,5.5,6.3,H9,3,1/2,Skipper-Bleu-895001,10.0,12.0,M9,1,2,Fastychop-848390,7.0,8.5,H8,12,2,Hornedo-895141,39.0,37.0,M5,11,1/2,Balbrown-996694,50.0,21.0,H5,15,3/4,Quai-d'Honneur-974817,47.0,28.0,H8,18,enc.,Conti-Jet-913047,47.0,27.0,F8,14,NaN,Envie-d'Ailleurs-893735,67.0,28.0,F6,2,NaN,Ocanelle-E1-1026622,25.0,25.0,H7,10,NaN,Sir-Swing-925070,118.0,50.0,F5,8,NaN,Divine-Création-991484,13.0,11.0,H8,7,NaN,Bank-Guard-(IRE)-873565,31.0,24.0,H5,9,NaN,Aussiwave-IRE-1016068,22.0,33.0,H7,16,NaN,Interian-GER-945933,97.0,55.0,H6,13,NaN,Rambouillet-955541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-03/reunion-pau/resultats-rapports/prix-de-lasclaveries-833779
18,Handicap divise,Pau,21.000EU,2013-01-03,1.950 m,sand,Bon terrain,Ref: +24,right,19.70 EU,6.10 EU,3.90 EU,10.80 EU,20.0,23.0,H5,3,NaN,Lord-of-the-Rings-983048,11.0,15.0,H5,10,cte tete,Sunny-Cat-991456,35.0,40.0,M7,12,5,Risquillo-930865,4.3,5.5,H6,6,enc.,Barzini-GER-954649,7.0,11.0,H5,8,cte enc.,Songeur-974496,42.0,44.0,H5,13,1 1/2,Hands-Up-984434,25.0,19.0,H6,7,enc.,Abou-Selem-951795,59.0,29.0,M6,4,cte enc.,Eragons-Dream-IRE-979798,22.0,26.0,H8,16,4,Maroni-(IRE)-894771,8.3,7.0,H5,5,cte enc.,Twenty-Ten-992857,11.0,13.0,H6,17,NaN,Snowbound-951691,7.5,7.5,M7,15,NaN,Désertar-902967,91.0,42.0,H6,14,NaN,Trewarthenick-GB-958932,78.0,60.0,F5,2,NaN,Nova-Vixen-980784,32.0,11.0,H5,9,NaN,Niolon-1009377,18.0,14.0,F5,1,NaN,Goldtiming-992564,87.0,35.0,H6,11,NaN,King's-World-(IRE)-962792,24.0,32.0,H5,18,NaN,Flying-Tomato-982223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-03/reunion-pau/resultats-rapports/prix-pmu-bar-des-castors-aureilhan-833778
16,Handicap divise,Deauville,52.000EU,2013-01-04,2.400 m,sand,Bon terrain,Ref: +16 +18,right,36.80 EU,9.10 EU,2.90 EU,2.90 EU,37.0,36.0,H6,5,NaN,Royal-Ménantie-949167,7.8,7.3,H5,4,1 1/2,Korgon-(GB)-1013655,7.8,7.5,H5,3,tete,Varadero-(IRE)-E1-968952,52.0,37.0,H6,2,1 3/4,Street-Lair-USA-E1-978833,37.0,31.0,H7,1,cte enc.,Kfar-Viking-912988,8.8,12.0,H5,7,cte enc.,Shorn-Grass-968662,13.0,13.0,F5,6,3/4,Cat-Nova-995983,43.0,41.0,H4,11,tete,Zagros-1043470,8.0,8.5,H4,9,tete,Black-Jewel-1042705,16.0,15.0,H6,15,1/2,On-The-Road-Jack-959558,33.0,28.0,M10,13,NaN,Green-Tango-815547,68.0,59.0,H6,10,NaN,Gomez-Adams-(IRE)-949628,12.0,11.0,H5,8,NaN,Wirtuel-968740,6.0,6.0,H5,16,NaN,Beaulieu-(IRE)-968867,13.0,12.0,H5,14,NaN,Klassikos-974720,19.0,19.0,F4,12,NaN,Bunny-Lebowski-1038522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-04/reunion-deauville/resultats-rapports/prix-du-mont-saint-michel-834144
14,Handicap divise,Deauville,17.000EU,2013-01-04,1.300 m,sand,Bon terrain,Ref: +33.5,right,19.30 EU,5.10 EU,1.70 EU,4.40 EU,19.0,23.0,M5,5,NaN,Mister-Segway-IRE-980678,3.5,4.5,M7,12,1/2,Swans-A-Swimming-IRE-947400,18.0,18.0,H10,11,1/2,Romain-des-Vignes-817066,16.0,13.0,F5,1,cte enc.,Maria's-Chic-USA-1001470,10.0,8.5,H10,8,tete,Hidden-Rainbow-IRE-830724,30.0,18.0,H6,7,cte tete,Mirobar-1029506,9.8,10.0,M8,6,3/4,Shine-For-Me-GB-900432,12.0,14.0,M6,4,cte enc.,Toxéas-941051,22.0,18.0,F6,14,cte enc.,My-Lovely-Girl-956277,33.0,22.0,H7,9,enc.,Marangu-IRE-926630,13.0,15.0,M6,10,NaN,Imasci-GB-963600,12.0,13.0,H5,13,NaN,Nice-Yield-1002156,24.0,20.0,H10,3,NaN,Famous-GER-850187,7.5,9.0,F7,2,NaN,Alpina-936605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-04/reunion-deauville/resultats-rapports/prix-de-creullet-834167
16,Handicap divise,Deauville,20.000EU,2013-01-04,2.400 m,sand,Bon terrain,Ref: +23 +25,right,17.10 EU,5.10 EU,4.10 EU,2.80 EU,17.0,12.0,F4,12,NaN,Perle-Rose-1032399,11.0,9.8,H4,15,cte enc.,Glamour-Star-GER-1029441,8.8,8.5,H6,7,cte enc.,Allesson-962570,4.3,8.3,F4,2,cte tete,La-Régence-1037372,18.0,12.0,F6,9,3/4,Hecate-(IRE)-993202,16.0,12.0,M5,3,enc.,Golden-Beau-997588,12.0,20.0,M4,14,1 1/2,Monsynn-1053424,27.0,17.0,F5,6,1 1/2,Uklanie-968712,9.3,9.5,H6,8,8,Backswing-(IRE)-954252,42.0,33.0,H7,4,1 3/4,Seabreeze-d'Ho-929024,10.0,12.0,F4,11,NaN,Everglades-GB-1066959,58.0,41.0,H4,5,NaN,Panis-Angelicus-1028621,49.0,25.0,H5,13,NaN,Golden-Criss-(IRE)-997281,40.0,33.0,F6,1,NaN,Stock-Exchange-957984,13.0,12.0,M7,16,NaN,Falun-GER-927172,15.0,15.0,M4,10,NaN,Looking-(GB)-1021823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-04/reunion-deauville/resultats-rapports/prix-de-la-baie-du-mont-834170
16,Handicap divise,Deauville,26.000EU,2013-01-04,2.400 m,sand,Bon terrain,Ref: +20.5 +22.5,right,3.80 EU,2.30 EU,4.60 EU,3.60 EU,5.3,5.5,M7,2,NaN,Renaione-IRE-E1-951309,15.0,15.0,F5,14,enc.,Lemon-River-1030076,11.0,15.0,F7,13,1/2,Satwa-Ruby-903309,8.0,8.8,H5,15,cte tete,Blue-Saphire-968094,14.0,21.0,M4,5,enc.,Valamar-1057568,22.0,21.0,H7,6,tete,Sirocco-de-Pame-924537,8.5,14.0,M5,9,nez,Spirit-Bird-(IRE)-1012078,31.0,21.0,H5,12,tete,Clavis-1009064,18.0,20.0,H5,8,enc.,Vlatori-996472,33.0,16.0,M7,4,1,Galéo-des-Flandres-916276,15.0,13.0,H4,7,NaN,Flers-GER-E1-1050924,12.0,12.0,H7,16,NaN,Speedy-Crown-940054,23.0,22.0,H6,3,NaN,Darwind-948544,15.0,11.0,H6,11,NaN,Anémos-964057,23.0,16.0,F5,10,NaN,Saharan-(IRE)-1001469,44.0,18.0,H5,1,NaN,Milord-des-Aigles-968461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-04/reunion-deauville/resultats-rapports/prix-du-rocher-tombelaine-834169
14,Handicap divise,Deauville,19.000EU,2013-01-04,1.300 m,sand,Bon terrain,Ref: +26,right,28.10 EU,7.00 EU,2.40 EU,2.40 EU,28.0,16.0,H6,9,NaN,Heaven-King-939482,6.5,6.8,M6,8,cte enc.,Little-Jones-975066,8.3,9.3,F5,3,1,Louya-IRE-988654,25.0,15.0,M5,6,nez,Luminous-Mind-USA-968790,15.0,12.0,H10,11,cte enc.,Garnica-836052,13.0,13.0,M5,4,cte enc.,Rovos-974821,4.3,7.3,F7,7,cte enc.,Lisselan-Rhapsody-USA-944512,17.0,18.0,H5,14,3/4,Cat-Spirit-974602,13.0,15.5,H6,5,cte enc.,L'Ami-Gaby-976065,12.0,14.0,M6,2,1 1/4,Samardal-960510,8.3,9.5,M5,12,NaN,Calon-Ségur-968111,51.0,20.0,H8,10,NaN,Cordon-Bleu-IRE-906665,86.0,49.0,H5,1,NaN,Point-du-Jour-FR-984125,19.0,19.0,H5,13,NaN,Secret-Mask-968659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-04/reunion-deauville/resultats-rapports/prix-de-creully-834166
13,Handicap divise,Deauville,15.000EU,2013-01-04,1.300 m,sand,Bon terrain,Ref: +38,right,15.70 EU,5.90 EU,5.10 EU,6.90 EU,16.0,10.0,F6,5,NaN,Lonsome-Drive-947906,16.0,11.0,H8,10,1 1/2,Wunderkind-(GER)-913556,24.0,11.0,F5,6,cte enc.,Meyaleva-996465,11.0,13.0,F5,12,enc.,Ushnika-982316,10.0,11.0,M6,3,tete,People-Chop-938844,12.0,10.0,M8,1,cte tete,Téquillo-893288,7.0,9.8,H9,7,1 1/4,Dane-Dancer-IRE-874676,4.5,6.8,F5,9,enc.,Achaïah-1007596,23.0,22.0,F5,4,nez,Luna-Negra-GER-977981,10.0,15.0,H8,8,enc.,Deacon-Blue-908137,5.5,5.5,F8,11,NaN,Mariners-Doll-IRE-884828,34.0,29.0,F9,2,NaN,Podiatriste-883494,62.0,34.0,F6,13,NaN,Skiryades-963602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-04/reunion-deauville/resultats-rapports/prix-de-cuigny-834168
16,Handicap divise,Deauville,18.000EU,2013-01-04,2.400 m,sand,Bon terrain,Ref: +26.5 +28.5,right,11.50 EU,3.30 EU,1.70 EU,3.40 EU,12.0,13.0,H6,13,NaN,Caroz-945810,4.0,7.3,H6,7,1/2,Dallal-970853,12.0,12.0,F5,12,1 1/2,Louve-Rose-(GB)-995986,9.3,11.0,M6,16,1 1/4,Breitner-FR-999265,19.0,17.0,H6,4,enc.,Commando-Cat-959894,12.0,8.5,H5,5,1 1/4,Arogno-1014716,40.0,36.0,H5,8,tete,Greaby-975384,34.0,38.0,F4,2,cte enc.,Didgé-1036395,25.0,16.0,M7,15,1/2,Lion-des-Flandres-903089,30.0,19.0,F4,9,cte enc.,Larache-1052282,65.0,42.0,H4,11,NaN,Mouhjim-1021420,14.0,19.0,F6,10,NaN,Tasharowa-1017049,14.0,17.0,H5,14,NaN,Silent-World-975249,19.0,25.0,H9,3,NaN,Eskandarani-879113,7.5,4.5,F4,1,NaN,Confidente-(IRE)-1047764,33.0,27.0,H6,6,NaN,Aggregate-973657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2013-01-04/reunion-deauville/resultats-rapports/prix-du-couesnon-834171
