starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
16,Handicap,Pau,22.000EU,2015-01-02,2.400 m,sand,Bon terrain,Ref: +27,right,4.50 EU,2.20 EU,3.20 EU,6.80 EU,4.5,7.3,H4,1,NaN,Un-Prophète-1135528,11.0,18.0,F4,7,3/4,Handeli-1132999,29.0,20.0,F4,8,2,Chines-Princess-1096963,14.0,10.0,M4,16,cte enc.,The-Mirage-E1-1136983,8.0,12.0,H4,14,1,Assekrem-1134911,9.0,12.0,H4,13,nez,Silence-Doré-1130893,56.0,31.0,F4,5,4,Vendaval-(GB)-1115849,20.0,17.0,F4,12,3 1/2,Sweet-Doraq-1125211,43.0,20.0,F4,15,2 1/2,Mamy-Way-E1-1106093,11.0,9.8,F4,2,tete,Carentan-1112404,8.5,10.0,M4,10,NaN,Green-Soldier-1121604,5.3,4.5,H4,9,NaN,Tigerland-1103010,76.0,37.0,F4,11,NaN,Amy-Desio-1118813,61.0,32.0,F4,6,NaN,Ail-Neuk-SPA-1096674,75.0,33.0,F4,4,NaN,Rakmanova-IRE-1098277,74.0,23.0,H4,3,NaN,Hot-Stock-1102312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-02/reunion-pau/resultats-rapports/prix-du-bearn-935046
15,Handicap divise,Pau,21.000EU,2015-01-02,1.950 m,sand,Bon terrain,Ref: +24,right,5.30 EU,2.30 EU,3.10 EU,2.10 EU,5.3,7.3,H5,1,NaN,Roaroke-(IRE)-1087131,10.0,11.0,H6,6,1 1/2,Black-Jewel-1042705,6.5,6.5,H5,11,enc.,Mikeltos-1107752,12.0,30.0,M5,13,2 1/2,Go-Parti-1062264,6.5,4.5,H6,4,3/4,Je-Parts-Seul-1032434,23.0,16.0,H7,8,3/4,Mick-Santo-1052089,31.0,26.0,H5,3,3/4,Polarsturm-GER-1094481,8.5,11.0,F5,7,cte enc.,Lady-Mélior-1066395,34.0,28.0,H7,2,d.-h.,Libretrasto-SPA-E1-1006790,43.0,32.0,H5,10,1 1/2,Varing-1063797,14.0,13.0,H8,14,1 1/2,Green-John-973664,9.8,13.0,H7,9,3/4,Pepito-Grillo-(GB)-982101,17.0,24.0,H5,12,cte enc.,Just-A-Pound-IRE-1067951,70.0,49.0,H7,16,10,Felipe-El-Hermoso-E1-986547,39.0,19.0,H9,15,10,Tucumano-918214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-02/reunion-pau/resultats-rapports/prix-de-lescar-935045
18,Handicap divise,Pau,17.000EU,2015-01-02,1.950 m,sand,Bon terrain,Ref: +34,right,20.80 EU,5.00 EU,1.90 EU,2.20 EU,21.0,20.0,H9,8,NaN,Sir-Swing-925070,4.5,5.5,H7,14,1,Golden-Criss-(IRE)-997281,5.3,5.5,H12,16,1 1/2,Cuban-816577,39.0,21.0,F5,18,1 1/2,Bintisultan-1065050,8.3,13.0,F6,9,tete,Rivière-de-Perles-1044974,20.0,27.0,F6,17,1 1/2,Landiora-1055724,45.0,25.0,H7,10,3/4,Don-Salluste-968173,56.0,29.0,F5,6,1,Miss-As-1133355,43.0,26.0,H7,12,tete,Sinan-SPA-976483,29.0,29.0,H8,13,3/4,Cypango-971997,56.0,18.0,F5,1,3,Royale-Way-E1-1054532,64.0,36.0,F6,5,3/4,Place-Monge-1049244,7.5,12.0,H5,15,cte enc.,Looking-At-Glory-(IRE)-E1-1072757,64.0,36.0,F8,11,1 1/2,Halong-Risk-997896,112.0,45.0,F5,7,3/4,Victoria-de-Nelson-1090581,10.0,9.8,F6,4,cte enc.,Danza-Palatina-1040738,10.0,16.0,F7,2,2 1/2,Saisissable-974847,16.0,9.3,M8,3,2,Eragons-Dream-IRE-979798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-02/reunion-pau/resultats-rapports/prix-de-lasclaveries-935044
15,Handicap divise,Deauville,20.000EU,2015-01-03,1.500 m,sand,Bon terrain,Ref: +30,right,17.30 EU,4.30 EU,1.60 EU,4.40 EU,17.0,20.0,F4,14,NaN,Sant'amanza-1160304,3.5,4.5,H4,9,1,Next-Temptation-1098216,16.0,13.0,F4,7,1 1/4,Macau-1103012,6.0,8.0,F4,12,nez,Mastermambo-(IRE)-1137788,11.0,11.0,H4,8,2,Singapore-Spur-E1-1099072,21.0,14.0,M4,3,1/2,Per-1098510,5.8,6.3,M4,10,cte tete,Saon-Risk-1123504,14.0,14.0,F4,6,3/4,Dwalilya-1096927,20.0,16.0,M4,4,3/4,Born-Chief-1144683,39.0,23.0,H4,11,cte enc.,Renounce-E1-1115056,40.0,25.0,F4,15,1/2,Little-Cupcake-GB-1098030,20.0,19.0,M4,2,3 1/2,Visioner-1104037,24.0,13.0,H4,1,1 1/4,Soldat-Bleu-1099159,36.0,34.0,F4,5,2 1/2,Biloka-1097035,35.0,27.0,H4,13,1 1/4,Nilos-1098229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-03/reunion-deauville/resultats-rapports/prix-de-la-geliniere-935052
15,Handicap divise,Deauville,18.000EU,2015-01-03,1.500 m,sand,Bon terrain,Ref: +33,right,7.40 EU,2.70 EU,4.00 EU,4.30 EU,7.4,9.8,F4,10,NaN,Fée-de-Lune-1097301,12.0,14.0,F4,13,3/4,Airley-1096676,14.0,16.0,F4,9,enc.,Menandore-1098733,3.3,3.5,F4,14,3/4,Viva-Espagna-1097202,34.0,15.0,M4,6,enc.,Nice-Arty-IRE-1116107,7.5,8.5,M4,11,tete,Quiaa-Nominoor-1103009,6.5,10.0,F4,3,cte enc.,Dream-of-Life-1140303,43.0,23.0,F4,12,tete,Zhayrem-1115191,28.0,18.0,F4,15,enc.,La-Goutte-d'Or-1097945,13.0,19.0,M4,5,enc.,Gone-With-The-Wind-1097460,46.0,28.0,F4,8,cte enc.,Giny-Queen-1097421,48.0,23.0,M4,7,1/2,Bayak-E1-1135540,92.0,32.0,F4,4,1/2,Vamos-Mia-IRE-1119533,15.0,13.0,F4,2,2 1/2,Star-Chope-1094050,28.0,13.0,H4,1,2 1/2,L'Ami-Fernand-E1-1097969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-03/reunion-deauville/resultats-rapports/prix-de-la-chardeniere-935051
15,Handicap divise,Deauville,19.000EU,2015-01-03,1.900 m,sand,Bon terrain,Ref: +29,right,5.50 EU,2.60 EU,3.10 EU,3.90 EU,5.5,7.8,M5,5,NaN,Dostumhon-GB-1075079,11.0,16.0,F6,3,1 1/4,Esquinade-1015490,13.0,15.0,F5,6,1,Fair-Moon-1069123,30.0,35.0,H5,16,3/4,Astrologo-SPA-1106484,10.0,15.0,H5,12,enc.,River-Prince-1093305,19.0,25.0,H9,15,enc.,Decorum-USA-945391,14.0,12.0,H5,14,cte enc.,Kingzar-1074329,4.3,7.0,F7,13,cte tete,Double-Mast-1014420,18.0,25.0,H7,7,enc.,New-Fighter-GER-1045356,15.0,10.0,H7,1,cte enc.,Layman-Junior-975402,43.0,20.0,F5,2,7,Généreuse-Thocléva-1082069,9.5,10.0,H5,8,1 1/4,Antharès-1060607,23.0,23.0,F5,11,1 1/4,Idée-Libre-1073695,52.0,21.0,H6,9,3,Dr-Thibault-1013654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-03/reunion-deauville/resultats-rapports/prix-de-saint-mere-eglise-935053
16,Handicap divise,Deauville,15.000EU,2015-01-03,1.900 m,sand,Bon terrain,Ref: +37,right,7.10 EU,2.50 EU,2.60 EU,7.20 EU,7.1,13.0,H7,5,NaN,Alphorn-974464,7.8,9.3,H5,3,tete,Ryedale-Valley-GB-1059247,28.0,25.0,F6,12,enc.,Night-of-Paris-1039629,5.3,4.3,F7,7,tete,Bessario-974574,10.0,19.0,H5,9,1 1/2,Spirit-In-The-Sky-GER-1080245,22.0,31.0,H8,8,tete,Glasclune-IRE-946372,13.0,14.0,H7,15,nez,Invincible-Viking-IRE-995324,20.0,24.0,H6,14,enc.,Dylans-Verse-IRE-1043460,17.0,8.8,H6,13,2 1/2,El-Casco-1054416,30.0,25.0,F6,4,3/4,Nice-Chief-1019665,13.0,16.0,H7,1,3/4,Frazao-974683,18.0,8.8,H6,11,3/4,Fantastic-Way-1021413,62.0,34.0,F5,6,nez,Mazahari-1108363,8.0,11.0,H6,16,3,Quenzo-du-Ranch-1051192,22.0,20.0,H7,10,3/4,Fraixeinet-1016775,42.0,24.0,F7,2,6,Yosha-(IRE)-985129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-03/reunion-deauville/resultats-rapports/prix-de-saint-sauveur-le-vicomte-935054
15,Handicap divise,Deauville,13.000EU,2015-01-03,1.900 m,sand,Bon terrain,Ref: +39,right,13.00 EU,3.20 EU,1.60 EU,1.80 EU,13.0,12.0,F5,5,NaN,Téquila-Star-1064684,4.3,9.5,H8,2,3/4,Gonetrio-USA-973370,5.3,4.5,F7,12,1/2,Belle-Aumone-968079,10.0,12.0,H6,16,enc.,Macharov-1032286,47.0,20.0,H6,3,enc.,Greatest-1065192,7.5,8.3,M6,8,1 1/4,Mont-Calpe-1029531,12.0,9.0,H9,11,cte tete,Pelmix-903260,24.0,48.0,H8,9,1/2,Crazy-One-972469,13.0,13.0,H6,1,cte tete,Everett-1012080,24.0,21.0,H10,6,enc.,Touching-Kings-874373,14.0,16.0,M5,15,tete,Jean-de-Médicis-1054515,30.0,24.0,F7,10,1 1/2,Ucléa-Béré-968711,32.0,12.0,H8,4,1 1/4,Dan-Victory-956507,24.0,28.0,H6,14,1 1/4,Country-Nevez-1028770,37.0,19.0,F6,7,1/2,Shabby-Gold-1040702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-03/reunion-deauville/resultats-rapports/prix-de-saint-martin-le-greard-939678
16,Handicap divise,Deauville,17.000EU,2015-01-03,1.900 m,sand,Bon terrain,Ref: +32.5,right,13.10 EU,3.60 EU,2.10 EU,2.50 EU,13.0,9.5,F5,10,NaN,Ideal-Step-1072497,6.0,12.0,H9,7,tete,Lone-Rider-903092,8.8,9.5,F6,4,enc.,Ismane-1056410,15.0,8.8,H6,8,nez,Passior-1038469,33.0,24.0,H6,2,tete,Arluno-1025600,9.8,11.0,F5,13,cte tete,Vahiney-1082074,20.0,14.0,F5,12,tete,Zamoyska-1081666,15.0,17.0,F6,3,enc.,Marasia-1021416,16.0,22.0,H5,16,3/4,Ally-Pally-1063712,22.0,9.8,F6,5,3/4,Essentielle-USA-1047777,18.0,10.0,H9,1,1/2,Kissavos-(GB)-936282,15.0,16.0,H5,15,1/2,Masiyann-1072269,5.0,9.0,H5,11,1,Della-Star-1092051,31.0,28.0,F6,14,2 1/2,She's-A-Rainbow-1031309,21.0,15.0,H9,9,tete,Nepez-903205,38.0,45.0,H7,6,enc.,Sweet-Equity-1021144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-03/reunion-deauville/resultats-rapports/prix-de-saint-vaast-la-hougue-935055
17,Handicap divise,Pau,21.000EU,2015-01-05,1.500 m,sand,Bon terrain,Ref: +27,right,20.40 EU,6.50 EU,2.50 EU,6.90 EU,20.0,26.0,M5,9,NaN,Toni-Fortebracci-1078803,5.8,9.0,H8,11,3/4,Akton-City-941055,25.0,14.0,H6,10,1 1/2,Vicking-Béré-1023648,17.0,16.0,M5,13,3/4,Holy-Cesar-GB-1063369,5.0,4.0,M5,2,cte tete,Titano-GER-1074424,65.0,52.0,F8,4,2,Panacea-GB-E2-984931,11.0,14.0,H6,16,tete,Louvain-E1-1051930,11.0,12.0,H6,8,tete,Alkatara-1060465,42.0,70.0,M7,15,cte tete,Del-Cossa-986825,14.0,14.0,H9,17,nez,Counterbid-(IRE)-902926,56.0,34.0,M6,3,1/2,Garajonay-FR-E2-1020097,20.0,35.0,H5,14,cte tete,Capearth-IRE-1053669,10.0,7.8,H8,5,1 1/2,Vasiliev-949178,53.0,25.0,F5,12,tete,Ruby-Wedding-E1-1067670,36.0,26.0,H6,1,6,Blanzac-1018524,7.0,9.3,F5,7,1/2,Véga-d'Aliénor-1094472,27.0,23.0,H7,18,6,Altamir-One-(GB)-1020752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2015-01-05/reunion-pau/resultats-rapports/prix-du-conseil-general-des-pyrenees-atlantiques-935072
