starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
10,Handicap divise,Pau,20.000EU,2008-01-02,1.300 m,sand,Bon terrain,Ref: +28.5,right,4.30 EU,1.80 EU,1.80 EU,1.90 EU,4.3,3.5,H7,5,NaN,Admiratif-761717,5.5,3.8,H5,4,4,Bobtail-833288,5.5,7.5,H9,8,2 1/2,Proci-Volo-716517,3.8,5.5,H5,6,3/4,Kenim-828459,20.0,14.0,H7,10,2 1/2,Mas-de-Provence-777965,8.8,9.8,F9,3,5,Free-and-Easy-GB-721786,68.0,35.0,H4,11,1 1/2,Glorious-Ticket-IRE-856239,20.0,26.0,H8,7,1 1/2,Son-Premier-736552,16.0,22.0,H9,1,3/4,Intrépide-708289,84.0,49.0,F4,9,loin,Simonkikou-843012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-02/reunion-pau/resultats-rapports/prix-de-lescar-664142
18,Handicap,Pau,18.000EU,2008-01-02,1.900 m,sand,Bon terrain,Ref: +27.5,right,7.80 EU,2.70 EU,4.20 EU,5.50 EU,7.8,13.0,F4,13,NaN,Nelson-Crack-864695,14.0,18.0,M4,10,cte tete,Crown-Prince-IRE-863968,13.0,15.0,H4,3,3,Comte-Ryal-E1-854881,6.3,12.0,F4,8,1 1/2,Poucheka-850028,61.0,23.0,F4,16,3/4,Testa-Mora-861321,64.0,22.0,F4,2,nez,Belle-Méralaise-E1-852985,37.0,22.0,F4,1,cte tete,Salsa-d'Ortige-881102,19.0,18.0,F4,4,cte enc.,Manon-de-Cœur-855580,47.0,22.0,M4,5,cte enc.,Débatteur-843540,22.0,18.0,F4,18,3,Vésilia-855214,23.0,15.0,H4,15,NaN,Koblenz-880947,3.0,5.5,F4,12,NaN,Lanabablue-850294,19.0,14.0,M4,14,NaN,Zamak-866402,13.0,8.0,H4,7,NaN,Art-Militaire-866405,67.0,21.0,H4,17,NaN,Trial-Manager-847480,53.0,37.0,F4,6,NaN,Queira-des-Neiges-864688,57.0,26.0,H4,11,NaN,Irish-Dun-IRE-872691,130.0,34.0,F4,9,NaN,Fairly-Exit-E1-846322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-02/reunion-pau/resultats-rapports/prix-de-gabaston-664145
11,Handicap divise,Pau,16.000EU,2008-01-02,1.300 m,sand,Bon terrain,Ref: +36,right,3.20 EU,4.80 EU,2.10 EU,2.90 EU,29.0,8.0,F4,6,NaN,Marigot-E1-869350,4.5,6.5,H7,2,cte enc.,Royal-Océan-762652,6.3,14.0,H5,10,1 1/2,Triumvirat-817483,3.5,4.0,H8,9,1 1/2,On-Line-E1-737682,40.0,20.0,F5,8,1,Vice-Reine-E2-817517,17.0,11.0,H5,4,cte enc.,West-Indian-(IRE)-817574,3.8,3.5,H10,1,2 1/2,Goudurix-E2-687456,16.0,30.0,H8,11,4,Keltury-735834,32.0,26.0,F4,7,8,Mante-843216,35.0,18.0,F4,5,10,Quickness-Royale-843139,106.0,95.0,F8,3,NaN,Crystal-Perle-845608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-02/reunion-pau/resultats-rapports/prix-de-lasclaveries-664144
16,Handicap divise,Deauville,48.000EU,2008-01-03,2.400 m,sand,Bon terrain,Ref: +18 +20,right,9.60 EU,3.70 EU,7.40 EU,7.70 EU,9.6,9.8,H7,9,NaN,Bluefields-813635,19.0,19.0,F5,16,tete,Crumpett-(IRE)-844443,28.0,27.0,F4,7,nez,Starmaria-853902,21.0,23.0,H7,8,cte enc.,Ainebe-Crocus-777845,10.0,12.0,F4,1,1,La-Fée-de-Breizh-865627,35.0,26.0,H6,3,1,Brunoy-(GB)-795038,3.3,3.8,H7,12,3/4,Howard-le-Canard-780384,6.3,5.5,H7,10,3/4,Arkando-GER-782459,50.0,37.0,F5,2,tete,Double-Mix-829171,17.0,13.0,H5,13,1 1/2,Bet-Winner-847910,38.0,30.0,H5,14,NaN,Pralin-847174,39.0,27.0,M6,5,NaN,Le-Carnaval-E1-819426,35.0,24.0,M6,11,NaN,Twester-E1-802981,17.0,17.0,M6,15,NaN,Montmarin-818500,37.0,33.0,F4,4,NaN,Bérénice-Pancrisia-852626,12.0,18.0,H4,6,NaN,Sunny-Rock-858245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-03/reunion-deauville/resultats-rapports/prix-de-la-basse-normandie-663603
11,Handicap divise,Deauville,19.000EU,2008-01-03,1.300 m,sand,Bon terrain,Ref: +25,right,6.70 EU,1.70 EU,1.60 EU,1.50 EU,6.7,12.0,F4,2,NaN,Régence-(IRE)-856292,5.5,6.0,F4,8,tete,Wake-Up-Springer-859481,3.0,2.5,H4,9,1 1/2,Kenchop-844912,42.0,48.0,F4,1,nez,Mary-Read-880605,15.0,12.0,H4,3,3/4,Cuando-Cuanto-843518,11.0,13.0,M4,11,1,Or-Violet-843071,5.0,5.8,F4,4,nez,Flûte-Divine-GB-843582,38.0,31.0,F4,10,2,Fully-Moon-858644,20.0,16.0,F4,6,3/4,Nuit-de-Glace-846626,9.0,17.0,H4,5,3,Never-Mind-IRE-880193,67.0,32.0,H4,7,NaN,Windtalker-842769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-03/reunion-deauville/resultats-rapports/prix-de-la-plage-663683
16,Handicap divise,Deauville,23.000EU,2008-01-03,2.400 m,sand,Bon terrain,Ref: +24 +26,right,2.40 EU,1.40 EU,3.00 EU,3.80 EU,2.4,3.8,H7,5,NaN,Roi-794340,13.0,15.0,F5,4,cte enc.,Sabolienne-847113,19.0,16.0,F5,12,1 1/2,Risky-Nizzy-GB-829337,13.0,8.0,M6,1,cte tete,Aragnouet-787542,24.0,17.0,H8,9,1 1/2,Kenacky-752383,80.0,42.0,M5,2,tete,Bantikhi-IRE-835067,11.0,16.0,M4,13,2,Lord-John-GER-863165,59.0,39.0,H5,8,cte enc.,Eklektos-815434,11.0,11.0,F5,7,cte enc.,Fast-Lane-Lili-(GB)-827857,55.0,23.0,F4,15,3/4,Camomille-(GER)-864879,26.0,26.0,F4,6,NaN,Vitora-868967,8.5,12.0,H7,10,NaN,Carte-Sauvage-USA-773607,54.0,29.0,F5,16,NaN,Hoian-845087,74.0,49.0,M5,14,NaN,Gonezoon-GER-855627,28.0,9.5,F5,3,NaN,Populonia-844431,24.0,17.0,H8,11,NaN,Pochettino-(IRE)-767986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-03/reunion-deauville/resultats-rapports/prix-de-la-haute-normandie-663682
16,Handicap divise,Deauville,18.000EU,2008-01-03,2.400 m,sand,Bon terrain,Ref: +28 +30,right,14.40 EU,3.90 EU,4.90 EU,1.90 EU,14.0,16.0,F4,1,NaN,Vahayna-876646,21.0,21.0,H4,15,cte enc.,Naramix-861805,3.8,9.5,H6,2,3/4,Aljiwaar-USA-787516,56.0,22.0,F4,4,cte tete,Damax-847787,7.5,10.0,F5,10,1/2,Océanie-Blue-860924,16.0,8.0,M6,3,cte enc.,Un-Nonantais-789025,41.0,20.0,H5,14,3/4,Afzalpour-847911,18.0,13.0,F5,9,cte enc.,Alingha-815118,6.8,9.0,M6,13,1/2,Ophtalmo-(IRE)-788678,58.0,18.0,F7,7,1/2,Ma-Bonne-Etoile-762341,26.0,15.0,H5,12,NaN,Ringbow-(IRE)-817048,12.0,6.5,H9,16,NaN,Euzebio-(IRE)-716752,106.0,38.0,H6,11,NaN,Rue-de-Lappe-802314,38.0,19.0,F7,6,NaN,Mary-Tsarevna-(GER)-762369,7.5,18.0,H9,8,NaN,Singing-Blues-SWI-709115,53.0,33.0,H8,5,NaN,Smile-Dream-736529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-03/reunion-deauville/resultats-rapports/prix-de-l-ouest-anjou-663685
10,Handicap divise,Deauville,17.000EU,2008-01-03,1.300 m,sand,Bon terrain,Ref: +34,right,4.70 EU,1.90 EU,1.70 EU,2.50 EU,5.3,8.5,M4,7,NaN,Querglas-Béré-E1-848054,4.0,5.0,F4,9,1 1/2,Bakufu-(IRE)-843377,9.5,12.0,M4,10,1,Tiburon-GB-877128,12.0,19.0,H4,5,enc.,Star-du-Var-IRE-886719,38.0,16.0,F4,1,3/4,Siempre-Mas-E2-852589,3.0,2.8,F4,2,enc.,Kokura-E2-846619,15.0,8.8,H4,8,1/2,Atisha-850706,43.0,21.0,F4,4,1 1/2,Marie-Josephe-E1-843222,15.0,13.0,H4,3,cte enc.,Tong-Zhi-842718,32.0,26.0,H4,6,1 1/2,The-Dream-Catcher-848352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-03/reunion-deauville/resultats-rapports/prix-des-vagues-663684
17,Handicap divise,Pau,20.000EU,2008-01-04,1.900 m,sand,Bon terrain,Ref: +28,right,12.90 EU,4.30 EU,2.70 EU,3.50 EU,13.0,20.0,H5,1,NaN,Horizon-Lointain-842150,6.5,5.5,F6,16,3,Shanvally-788908,11.0,10.0,F7,2,1/2,La-Mariane-779048,33.0,26.0,F5,12,1 1/2,Sweet-Shop-GB-E1-817168,49.0,30.0,M6,14,2 1/2,Villalier-810451,7.0,18.0,F5,10,1/2,Pausili-837471,29.0,26.0,H9,9,1,First-de-Cerisy-708230,9.0,8.0,H5,11,1/2,Honor-Badge-815571,184.0,76.0,M5,13,4,Taxfree-826114,9.5,15.0,H10,8,1 1/2,Barbazan-681500,18.0,16.0,H5,4,NaN,Aragog-847501,47.0,37.0,F5,3,NaN,Indian-du-Rheu-823324,3.8,3.5,H5,6,NaN,Gingerbread-Boy-IRE-E2-835502,98.0,52.0,F5,7,NaN,Neve-Yam-E1-844402,47.0,28.0,M8,15,NaN,Nelson-Creek-736143,159.0,74.0,H7,17,NaN,Track-Show-(GB)-791127,70.0,35.0,F5,5,NaN,Baie-des-Fleurs-E2-822130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-04/reunion-pau/resultats-rapports/prix-pmu-le-diabolo-billere-664278
17,Handicap de categorie divise,Deauville,18.000EU,2008-01-05,1.900 m,sand,Bon terrain,Ref: +33,right,9.10 EU,3.30 EU,3.30 EU,4.60 EU,9.1,11.0,F5,7,NaN,Happy-Love-GER-855084,7.0,5.8,H6,14,1/2,Le-Champion-IRE-788320,16.0,16.0,M5,6,enc.,Pickering-E1-841373,14.0,10.0,H5,12,1/2,Excentrique-(GB)-821259,8.0,10.0,H5,9,nez,Pirate-Béré-838153,19.0,15.0,H6,1,cte tete,El-Churqui-(GB)-797028,4.3,8.5,M8,17,1,Sakkaline-(IRE)-736431,19.0,15.0,H7,3,1 1/2,New-Béré-784064,122.0,89.0,F5,18,cte enc.,Sinomili-845907,74.0,27.0,F5,5,4,Variante-IRE-E1-862110,20.0,26.0,H9,16,NaN,Whisperer-GER-722200,18.0,18.0,H9,15,NaN,Noble-Marchand-777891,9.0,9.0,H7,2,NaN,Il-Trovatore-780140,58.0,43.0,H8,4,NaN,Solo-Tango-736551,90.0,34.0,F5,8,NaN,Asserdouna-853650,32.0,13.0,H8,11,NaN,Let's-Go-Dancing-(GB)-752269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2008-01-05/reunion-deauville/resultats-rapports/prix-de-la-poterie-664096
