starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
16,Handicap divise,Pau,17.000EU,2016-01-02,1.950 m,sand,Bon terrain,Ref: +36,right,7.30 EU,2.40 EU,3.80 EU,2.00 EU,7.3,10.0,F5,5,NaN,Harri-Bizia-1128270,17.0,16.0,H5,16,2,Tricheur-1097411,5.8,6.5,M7,10,enc.,Upper-House-(IRE)-1047785,8.0,9.5,H5,8,2,Thomas-Crown-1098309,9.8,11.0,H8,4,cte tete,Golden-Criss-(IRE)-997281,15.0,12.0,H9,1,2 1/2,Abou-Selem-951795,7.3,6.0,H13,2,enc.,Cuban-816577,48.0,38.0,M6,9,2 1/2,Zandwaking-1066968,4.5,5.5,H7,15,2,Miley-GER-E1-1041302,27.0,44.0,H6,13,enc.,Bomber-ITY-1088025,102.0,28.0,H7,12,1/2,The-Dude-1028722,37.0,24.0,F5,6,3,La-Rusée-1095580,47.0,25.0,M8,11,8,Duke-Igor-(IRE)-968884,133.0,59.0,F5,7,4,Linda-Y-Cara-1126415,40.0,22.0,H5,14,1/2,Alfoz-IRE-1115917,68.0,25.0,F5,3,3/4,Mindsforgemanacles-IRE-E1-1098693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-02/reunion-pau/resultats-rapports/prix-de-lasclaveries-972364
14,Handicap divise,Pau,21.000EU,2016-01-02,1.950 m,sand,Bon terrain,Ref: +25.5,right,5.30 EU,2.50 EU,7.10 EU,4.90 EU,5.3,6.8,H5,9,NaN,Truffle-Black-(GB)-1097353,38.0,21.0,H7,15,1 1/2,Sorellino-1034883,15.0,15.0,H7,13,1/2,Guyapi-(GB)-1047725,7.5,10.0,M6,6,3/4,Collio-Side-SPA-1059065,13.0,13.0,H6,1,2 1/2,Speed-Pack-IRE-1103797,21.0,14.0,M5,11,enc.,Ghost-Rules-IRE-1095606,10.0,14.0,M6,10,enc.,Go-Parti-1062264,24.0,19.0,H5,2,cte enc.,Aréos-USA-1096594,5.0,8.0,H6,8,2,Cubalibre-1093614,43.0,23.0,M5,4,2 1/2,After-Math-1096669,10.0,7.0,H5,7,cte enc.,Prince-Dino-1118147,8.3,8.5,F7,12,1/2,Cascabel-SPA-1037168,22.0,9.0,H5,5,3/4,Nomad-Arrow-(IRE)-1098237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-02/reunion-pau/resultats-rapports/prix-de-lescar-972365
13,Handicap,Pau,22.000EU,2016-01-02,1.500 m,sand,Bon terrain,Ref: +24.5,right,5.50 EU,1.90 EU,1.40 EU,2.40 EU,5.5,4.5,M4,10,NaN,Mamourg-1146377,3.0,3.0,H4,2,2,C-d'Argent-1175519,9.0,15.0,F4,12,3/4,Three-Gracez-GB-1158393,10.0,17.0,F4,4,nez,Kasina-(IRE)-1145105,6.3,9.3,M4,5,1 1/4,Piquio-1144979,27.0,15.0,M4,13,1/2,Penobscot-(IRE)-1146064,71.0,22.0,F4,6,3/4,Anadun-1139018,40.0,34.0,H4,11,1 1/2,Kallinikos-1145099,12.0,10.0,H4,7,3,Oscar-Nonantais-1150596,49.0,28.0,H4,9,4,Mekong-River-1159792,80.0,40.0,F4,3,1 1/2,Nemerina-1186292,18.0,31.0,H4,1,6,Gold-Wag'n-1144116,13.0,12.0,M4,8,12,Prince-Whip-1173485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-02/reunion-pau/resultats-rapports/prix-d-ogeu-les-bains-972366
16,Handicap divise,Deauville,20.000EU,2016-01-03,1.900 m,sand,Bon terrain,Ref: +28.5,right,12.00 EU,3.20 EU,1.90 EU,2.50 EU,12.0,16.0,M4,9,NaN,Zanhill-1175283,4.5,5.5,F4,6,cte enc.,Jeune-et-Jolie-IRE-1177637,7.3,10.0,H4,7,1 1/4,Avocat-1139936,7.0,8.0,H4,15,3/4,Hey-Joe-1144752,5.8,7.5,F4,5,3/4,Marta-Smart-1158383,19.0,30.0,H4,12,3/4,Idle-Wheel-1188086,54.0,19.0,F4,8,2,My-Pepette-1155538,67.0,62.0,H4,1,1,Convicted-1159581,14.0,12.0,H4,13,1 1/4,Kalibur-(GER)-1177063,9.3,7.3,F4,14,enc.,Belphegoria-(GB)-1140503,27.0,13.0,F4,10,d.-h.,Senora-de-la-Plata-1151096,16.0,25.0,H4,3,1/2,Bliss-In-The-City-1140613,48.0,15.0,F4,16,3/4,La-Giovanella-1145232,55.0,49.0,H4,11,3/4,Skyfall-1150372,71.0,34.0,H4,4,20,Arbol-de-Humo-1159076,54.0,19.0,H4,2,1,Abraxas-Stone-1176543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-03/reunion-deauville/resultats-rapports/prix-de-la-chardeniere-972374
15,Handicap divise,Deauville,18.000EU,2016-01-03,1.900 m,sand,Bon terrain,Ref: +32.5,right,13.10 EU,4.10 EU,5.00 EU,2.50 EU,13.0,18.0,H4,13,NaN,Charly-Green-1186820,20.0,23.0,F4,15,1 1/4,Hity-1172975,5.5,7.8,F4,2,enc.,Thuit-IRE-1139541,49.0,52.0,H4,16,1 1/2,Yanestar-1177100,54.0,33.0,H4,10,cte tete,Easy-Go-1142211,7.3,10.0,H4,7,tete,Namkham-1169030,9.8,11.0,H4,1,cte enc.,Rise-And-Shine-FR-1171435,30.0,9.3,F4,14,tete,Ma-Valentine-1146481,85.0,51.0,H4,6,cte enc.,Slim-Medi-1177176,3.3,4.5,H4,4,cte tete,Ajax-d'Oroux-1188724,77.0,22.0,F4,8,1 1/4,Viking-Runner-1152413,31.0,14.0,H4,5,enc.,First-Green-1146843,46.0,34.0,M4,9,cte tete,Johnchop-1145079,8.0,6.8,F4,11,1 1/4,Nanny-Cay-1148462,36.0,21.0,H4,12,5,Daktary-1166393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-03/reunion-deauville/resultats-rapports/prix-de-la-molliere-972376
15,Handicap divise,Deauville,24.000EU,2016-01-03,1.900 m,sand,Bon terrain,Ref: +22,right,6.50 EU,2.80 EU,2.10 EU,6.30 EU,6.5,9.5,H4,1,NaN,Ecureuil-USA-1142228,5.0,4.3,F4,13,1/2,New-Frosty-1148489,29.0,39.0,F4,10,enc.,Versaline-1149370,13.0,13.0,F4,9,3/4,Lasting-Melancholy-1142114,8.3,15.0,H4,7,3/4,Nabunga-1179452,14.0,7.8,F4,8,nez,Polkarena-1154361,11.0,16.0,H4,6,1/2,Good-Deal-1160527,19.0,17.0,M4,2,1 3/4,Lucky-Team-1156944,43.0,22.0,H4,4,1 1/2,Naabaha-1143965,10.0,11.0,F4,15,enc.,Eclipse-Lunaire-(GB)-1178160,43.0,12.0,F4,11,1/2,Grey-Duchess-GB-1193305,8.8,12.0,M4,3,tete,Selectif-(GB)-1151095,9.8,14.0,H4,14,enc.,Max-la-Fripouille-1145819,37.0,29.0,M4,5,1 3/4,Clishet-1141374,71.0,27.0,M4,12,6,Change-of-Gold-1175532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-03/reunion-deauville/resultats-rapports/prix-de-la-geliniere-972375
15,Handicap divise,Deauville,19.000EU,2016-01-03,2.500 m,sand,Bon terrain,Ref: +34,right,4.00 EU,2.10 EU,3.60 EU,4.90 EU,4.0,11.0,H6,7,NaN,Stockholm-Emery-1096317,10.0,12.0,H9,6,tete,Fellini-GER-981661,21.0,11.0,F8,5,3/4,Double-Mast-1014420,22.0,13.0,H7,10,cte tete,Flers-GER-1050924,23.0,37.0,M6,12,cte enc.,Shakko-1082846,11.0,13.0,H6,3,nez,Attawo-1062197,35.0,11.0,H6,2,cte enc.,River-Prince-1093305,10.0,10.0,F9,4,3/4,Stock-Exchange-957984,14.0,14.0,H7,8,tete,Glamour-Star-GER-1029441,6.3,8.0,H7,15,3/4,Benwaki-1056907,12.0,8.3,H7,14,tete,Mouhjim-1021420,30.0,18.0,H6,11,3,Lieu-Marchand-1066377,8.0,7.0,F6,13,1/2,Mumgala-1088825,110.0,67.0,H8,16,2,Next-Round-975301,42.0,18.0,H7,1,1/2,Vénéziano-1024886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-03/reunion-deauville/resultats-rapports/prix-de-brullemail-972373
16,Handicap divise,Deauville,17.000EU,2016-01-03,2.500 m,sand,Bon terrain,Ref: +35.5,right,6.20 EU,2.20 EU,2.00 EU,2.40 EU,6.2,9.5,H7,5,NaN,Le-Grand-Voyage-1058855,4.8,11.0,H8,1,1 3/4,Ecomi-IRE-995322,7.5,17.0,H6,6,1 1/4,Carlostar-1096375,17.0,12.0,F7,7,cte tete,Serafeena-1063741,25.0,22.0,H6,4,3/4,Ally-Pally-1063712,26.0,14.0,H10,2,cte enc.,Prétorius-939283,11.0,8.5,H8,9,3 1/2,Another-Tune-1052824,82.0,47.0,H6,14,cte tete,Rainéon-1062687,17.0,10.0,F6,11,1/2,Lolita-Sky-1116236,10.0,10.0,F6,8,3/4,Aéro-Navale-1114690,17.0,15.0,F8,3,1 3/4,Eternal-Flame-999301,9.5,11.0,H10,10,1 1/4,Brasilien-910276,120.0,36.0,H10,12,tete,Gold-Music-921540,17.0,8.5,H9,15,1 1/2,Commando-Cat-959894,32.0,12.0,H11,16,1 3/4,Marendinio-895388,25.0,24.0,H7,13,1 3/4,Khan-de-Shymkent-1030213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-03/reunion-deauville/resultats-rapports/prix-de-braudiere-972372
16,Handicap divise,Deauville,14.000EU,2016-01-03,2.500 m,sand,Bon terrain,Ref: +38,right,14.20 EU,7.20 EU,3.50 EU,2.80 EU,37.0,13.0,H7,10,NaN,Country-Nevez-E1-1028770,10.0,17.0,H6,16,3/4,Della-Star-1092051,7.0,13.0,H7,4,enc.,Corps-A-Corps-1068374,8.0,10.0,H6,14,enc.,L'Homme-du-Lys-1075078,53.0,32.0,H6,9,cte enc.,Safari-d'Evaille-1094486,12.0,9.3,F8,11,cte tete,Sawa-Song-1018556,22.0,11.0,H9,15,1/2,Speartooth-(GB)-E1-958489,4.8,9.0,H6,2,1 1/2,Missing-Ones-1070975,24.0,21.0,H11,3,cte enc.,Rockstar-Mail-918275,6.5,9.3,H8,7,1,High-Jo-(GB)-1008713,7.8,6.3,H7,1,1 1/2,Jack-Sparrow-1012085,27.0,12.0,H8,5,1 1/2,Bay-Vettori-GER-995894,75.0,27.0,F9,8,1 1/4,Garinsha-950869,55.0,31.0,H10,13,1 1/2,Salsavana-903380,30.0,17.0,H11,6,3/4,Enrisy-891564,47.0,34.0,H9,12,3,Soleil-de-Vati-975007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-03/reunion-deauville/resultats-rapports/prix-de-brucourt-975378
16,Handicap divise,Deauville,24.000EU,2016-01-04,1.500 m,sand,Bon terrain,Ref: +22,right,7.60 EU,10.00 EU,3.30 EU,6.30 EU,61.0,24.0,F4,14,NaN,Perfect-Stranger-(IRE)-E1-1150675,7.5,12.0,H4,16,nez,Rayyan-USA-1152025,20.0,20.0,F4,12,1 1/2,Eye-Candy-Kitten-USA-1165632,6.5,12.0,H4,5,tete,Mocklershill-1147833,6.0,5.8,M4,11,enc.,Lehaim-1144907,15.0,19.0,F4,8,cte tete,L'Acclamation-(GB)-1181135,21.0,20.0,M4,6,1,Sanam-USA-1150987,8.8,6.5,F4,10,1 3/4,Ma-Petite-Poule-E1-1157740,19.0,10.0,F4,2,nez,Novecento-1174347,64.0,40.0,H4,15,1 1/4,The-Only-One-1152303,25.0,19.0,F4,7,tete,Mazis-(GB)-1166268,11.0,15.0,H4,13,3/4,Maryenkhor-1183890,23.0,19.0,F4,4,enc.,Houteville-GB-1138632,19.0,15.0,F4,3,cte enc.,Nancy-Drew-1188619,9.0,9.3,M4,1,12,Zariyano-1135792,24.0,20.0,H4,9,2 1/2,Athansor-(GB)-1189005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2016-01-04/reunion-deauville/resultats-rapports/prix-du-ruisseau-des-ouies-972387
