starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
17,Handicap divise,Pau,17.000EU,2019-01-02,1.950 m,sand,NaN,Ref: +37.5,right,10.40 EU,3.60 EU,2.90 EU,2.20 EU,10.0,19.0,H6,14,NaN,Vision-d'Or-1173868,9.8,9.5,H5,9,4 1/2,Red-Mistral-1215225,5.0,5.8,H9,13,1 1/4,Hubris-1080311,11.0,12.0,M7,11,cte enc.,Inevitable-Hermann-GB-1161595,5.3,10.0,H6,16,cte enc.,Sunday-Racer-1190935,36.0,24.0,H9,6,1 1/4,Speed-Pack-IRE-1103797,24.0,18.0,H8,17,enc.,Vim-1096986,14.0,14.0,F5,15,1 3/4,Campanilla-1245246,53.0,22.0,M10,8,6,Upper-House-(IRE)-E1-1047785,6.8,7.5,M7,1,cte tete,Polo-Dream-1143649,40.0,23.0,F8,12,enc.,Taka-Takata-Kataka-1123517,25.0,24.0,M7,10,9,Ice-Man-Star-GER-1147923,114.0,79.0,F8,7,13,Grace-Of-Love-(IRE)-1097826,24.0,13.0,F7,3,2,Zanicia-1163292,17.0,10.0,F7,4,5,Lipari-GER-E1-1211557,41.0,22.0,H8,2,2,Speedy-Glaz-1099122,76.0,46.0,F5,5,3/4,Alivskaia-1224791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-02/reunion-pau/resultats-rapports/prix-de-maucor-1115719
15,Handicap divise,Pau,21.000EU,2019-01-02,1.950 m,sand,NaN,Ref: +28,right,18.60 EU,6.30 EU,4.50 EU,7.20 EU,18.0,16.0,M5,15,NaN,Boot-Camp-1228202,18.0,22.0,H5,13,1,Escala-1214798,24.0,10.0,F7,7,cte tete,Nemerina-1186292,42.0,28.0,F5,10,1/2,Popee-GB-1322639,8.5,6.0,H5,14,1/4,Illuminator-1231540,6.0,8.5,H8,2,enc.,Bowling-Green-1112813,3.5,4.3,H6,8,enc.,See-The-Sun-1173900,85.0,49.0,H6,11,tete,Dosnueveuno-(IRE)-1193389,21.0,13.0,F5,3,1 1/4,Sweet-Mambo-1267579,5.5,8.0,H5,6,6,Wessex-1214939,16.0,20.0,F6,12,1 1/2,Halée-1203072,20.0,13.0,H8,4,3/4,Tricheur-1097411,16.0,22.0,H8,9,12,Reding-1098343,38.0,24.0,H7,1,1 1/4,Mejaen-1143757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-02/reunion-pau/resultats-rapports/prix-du-conseil-general-des-pyrenees-atlantiques-1115720
16,Handicap,Pornichet,16.000EU,2019-01-02,3.100 m,sand,NaN,Ref: +30,left,47.80 EU,9.00 EU,11.20 EU,2.30 EU,47.0,47.0,H4,9,NaN,Rajamsyl-1310959,40.0,26.0,H4,2,1/4,Elocution-1266320,4.8,4.0,H4,14,3/4,Galikor-(GB)-1266983,11.0,13.0,H4,5,cte enc.,Saga-Ouatina-1284249,31.0,23.0,M4,8,1/4,Sky-Champe-E1-1295305,16.0,22.0,H4,1,enc.,Tête-Raide-1302607,8.0,7.5,H4,7,1,Atacama-Giant-1285950,68.0,42.0,H4,12,enc.,Five-By-Five-E1-1313282,56.0,38.0,H4,11,2 1/2,Davanti-San-Guido-1264588,12.0,9.0,F4,10,1 1/2,Sailing-Through-USA-1269447,130.0,101.0,F4,16,1/2,Divinesri-1322159,5.0,7.0,H4,15,1/4,Authotime-1271273,6.0,7.3,H4,4,3 1/2,Cuba-Libre-1315339,65.0,38.0,F4,6,12,Euskara-1299492,43.0,36.0,F4,3,20,Simbolic-1320059,9.5,12.0,F4,13,3 1/2,Estrella-Fugace-1303800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-02/reunion-pornichet/resultats-rapports/prix-du-nouvel-an-2019-1115727
15,Handicap,Pornichet,15.000EU,2019-01-02,3.100 m,sand,NaN,Ref: +32,left,6.90 EU,2.10 EU,1.70 EU,3.10 EU,6.9,10.0,H6,7,NaN,More-Than-This-1204278,3.5,5.5,H6,13,cte tete,Swing-Glaz-1231209,13.0,12.0,F6,1,1 3/4,Ziziozoo-1217538,46.0,32.0,H5,2,enc.,Elyt-of-Gold-1277293,17.0,13.0,H6,4,cte tete,Bolchevik-(IRE)-1223705,63.0,34.0,H11,11,3/4,Dashing-Line-GER-1009632,45.0,27.0,F5,12,nez,Rêve-de-Sœurs-1276609,7.8,11.0,F6,3,3/4,Easilly-1222665,16.0,12.0,H5,14,enc.,Spritz-Orange-1269763,19.0,11.0,F5,8,cte enc.,Santa-Valentina-1231800,9.0,5.5,F5,9,tete,La-Cambe-1231732,83.0,48.0,H10,10,3,Majestic-Club-USA-1065608,11.0,10.0,H7,6,4,Irishcafé-1168522,56.0,32.0,H7,16,18,Iceberg-(IRE)-1143645,10.0,15.0,H7,15,7,Poster-1139533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-02/reunion-pornichet/resultats-rapports/prix-paipo-1115730
16,Handicap de categorie,Pornichet,14.000EU,2019-01-02,2.100 m,sand,NaN,Ref: +35,left,11.80 EU,3.80 EU,11.70 EU,2.10 EU,11.0,10.0,H5,2,NaN,Monsieur-Bandido-1245138,50.0,28.0,F5,1,1 1/2,Gormlaith-1229630,4.0,5.3,F6,13,3 1/2,Daligala-1172246,18.0,15.0,H6,11,nez,Witchcraft-1173922,10.0,11.0,H7,15,cte tete,Change-of-Gold-1175532,5.5,9.0,M6,4,1/2,Parfait-Avenus-1181799,17.0,16.0,H5,12,1/4,Disco-Flash-1221775,13.0,13.0,F5,3,1/4,Douville-1214693,22.0,18.0,H9,14,1/2,Jupiter-1063719,26.0,21.0,H5,5,nez,Snowy-Sunday-1237606,9.0,8.8,F5,9,cte tete,Agami-1214419,16.0,10.0,H10,7,4 1/2,Mouhjim-1021420,17.0,17.0,F6,16,3 1/2,Sunday-Lili-1205786,77.0,35.0,F8,6,1 3/4,Désobéissante-1114922,67.0,38.0,H7,8,5 1/2,Chambois-1141110,32.0,25.0,F7,10,5 1/2,Etole-d'Anjou-1184892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-02/reunion-pornichet/resultats-rapports/prix-magellan-1115729
16,Handicap divise,Deauville,18.000EU,2019-01-03,1.500 m,sand,NaN,Ref: +31.5,right,5.60 EU,2.50 EU,7.50 EU,2.10 EU,5.6,12.0,H4,5,NaN,Admiral-Thrawn-IRE-1282199,26.0,22.0,M4,13,3,Front-Page-1283166,5.0,5.3,F4,11,1 3/4,Kallikrates-1283202,10.0,7.0,F4,8,tete,Senza-Fine-1269597,22.0,25.0,M4,14,1 1/4,Blue-Link-1265589,11.0,10.0,F4,4,cte tete,Swansea-Beach-1277579,10.0,16.0,F4,9,tete,Rio-Love-1297893,27.0,20.0,F4,6,cte enc.,Pour-la-Famille-IRE-1286930,8.8,8.0,H4,2,1/2,Dancing-Master-1271442,9.0,10.0,F4,10,3/4,Pyramid-First-1284310,28.0,21.0,F4,3,3/4,Save-The-Date-1271963,34.0,20.0,F4,16,1/2,La-Sapienza-E1-1310955,73.0,30.0,M4,7,cte tete,Akoiman-E1-1330782,16.0,11.0,F4,1,tete,Kumari-1283209,26.0,31.0,H4,12,3,Onesarnieshort-FR-1291963,124.0,75.0,H4,15,1,Seeking-Revenge-1289627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-03/reunion-deauville/resultats-rapports/prix-de-la-seullette-1115733
16,Handicap divise,Deauville,19.000EU,2019-01-03,1.500 m,sand,NaN,Ref: +26,right,5.10 EU,1.70 EU,3.40 EU,2.80 EU,5.1,7.5,M5,5,NaN,Hanabaal-Tun-1280705,11.0,9.5,H5,8,1 3/4,Stormy-1229414,8.5,10.0,H8,6,cte enc.,Inséo-1118600,20.0,20.0,H6,3,1 1/4,Miniking-1219720,24.0,17.0,M6,1,nez,Shamatorio-1221099,40.0,19.0,F7,12,tete,Pink-1139163,15.0,9.5,F5,11,1 1/4,Cry-Baby-(IRE)-1230914,20.0,16.0,H5,9,tete,Sometaste-1232373,8.0,7.5,H7,2,enc.,Prince-du-Goyen-1149008,35.0,31.0,H5,4,cte enc.,Charlot-The-Kid-1214704,11.0,16.0,H5,16,tete,Gran-Pierino-ITY-1253402,25.0,20.0,H9,7,enc.,Mambo-Way-1114137,9.0,11.0,H9,15,cte enc.,Keravnos-1066408,13.0,16.0,F5,10,1 1/4,Magic-Song-1255254,31.0,27.0,M6,14,9,Late-Comer-1232990,16.0,17.0,M8,13,2 1/2,House-Captain-GB-1097878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-03/reunion-deauville/resultats-rapports/prix-de-l-aure-1115734
16,Handicap divise,Deauville,15.000EU,2019-01-03,1.500 m,sand,NaN,Ref: +32,right,6.20 EU,2.30 EU,2.10 EU,3.70 EU,6.2,3.5,H6,8,NaN,Giloulou-1185380,5.5,7.5,H6,1,1,Tour-GB-1205214,13.0,13.0,H5,6,3/4,Mounirchop-1236513,21.0,19.0,F7,10,1,Big-Letters-(IRE)-1154156,14.0,13.0,H8,3,1/2,White-Jacket-1141571,21.0,24.0,H6,7,1/2,Senator-Frost-1219161,69.0,38.0,H12,5,3/4,Montalban-FR-E1-974793,5.0,6.5,H6,2,tete,Dothraki-GER-1204264,8.5,13.0,H5,14,1/2,O'goshi-1237708,11.0,11.0,H9,4,3/4,Royal-Prize-GB-1062143,51.0,23.0,H6,15,3/4,American-Star-1172159,53.0,34.0,H8,9,1 3/4,Renounce-E1-1115056,22.0,28.0,H5,12,enc.,Dandy-Flame-IRE-1236560,88.0,95.0,H8,16,3,Incorruptible-IRE-1097686,23.0,33.0,F10,13,3/4,Cruel-Summer-1034576,18.0,30.0,H6,11,4 1/2,Empiric-(GB)-1189988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-03/reunion-deauville/resultats-rapports/prix-de-l-aurette-1115735
15,Handicap divise,Deauville,20.000EU,2019-01-03,1.500 m,sand,NaN,Ref: +24,right,9.70 EU,3.00 EU,2.20 EU,2.50 EU,9.7,11.0,M4,1,NaN,Black-Cat-1277371,4.8,8.5,H4,3,4,Cadorino-des-Place-1265642,7.3,5.5,H4,8,nez,Hautot-1267250,8.0,11.0,F4,5,cte tete,Imaginary-Move-GER-1267357,13.0,17.0,F4,12,1 1/4,Molly-Sunshine-GER-1268839,9.8,12.0,F4,11,cte tete,Diliya-1274078,10.0,7.8,M4,6,3/4,Five-Ice-Cubes-1271562,33.0,19.0,F4,16,3/4,Gloria-GB-1295264,12.0,9.0,M4,9,1/2,Le-Gitan-1266412,11.0,13.0,M4,2,2 1/2,Got-Awan-1291650,26.0,17.0,F4,13,5,La-Cataleya-1271726,64.0,37.0,F4,4,3/4,Dalawyna-1286915,61.0,27.0,H4,10,1 1/4,Steven-1269759,25.0,20.0,F4,7,3/4,Canouville-1264276,29.0,25.0,F4,14,1 1/2,Favoritisme-1271601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-03/reunion-deauville/resultats-rapports/prix-de-la-seulles-1115732
16,Handicap divise,Deauville,52.000EU,2019-01-04,2.500 m,sand,NaN,Ref: +18.5 +20,right,4.60 EU,2.00 EU,2.40 EU,3.20 EU,4.6,6.3,H7,5,NaN,Pretorio-(IRE)-1184204,9.0,7.8,F5,1,1 1/2,Goderville-E1-1215433,11.0,10.0,H9,9,cte tete,As-des-Flandres-1071435,25.0,27.0,H9,4,cte enc.,Mister-Smart-1088761,13.0,12.0,H8,7,3/4,Smart-Whip-1122077,22.0,20.0,M5,10,3/4,Incampo-1215638,5.0,6.0,H5,14,cte enc.,Youmakemecrazy-1214790,15.0,12.0,H7,2,cte tete,Max-la-Fripouille-1145819,24.0,19.0,F5,6,1/2,Magical-Forest-IRE-E1-1229224,32.0,34.0,H5,16,1/2,Galdan-(GB)-1231300,53.0,37.0,H9,15,enc.,Spirit's-Revench-1072273,20.0,19.0,H7,8,3/4,Bowl-1140630,12.0,12.0,M4,13,3,Touchthesoul-ITY-1281653,12.0,12.0,H6,12,2 1/2,Combat-des-Trente-1172421,33.0,27.0,M10,3,2 1/2,My-Sweet-Lord-1034573,57.0,41.0,H4,11,1/2,Quantivator-(IRE)-1269275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2019-01-04/reunion-deauville/resultats-rapports/prix-de-la-beauvoisiniere-1115744
